,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.6351,0.6625,0.7970,0.0182,0.2765,0.3301,0.3550,0.5262,0.5958,0.3965,0.6574,0.5089
DecisionTreeRegressor,0.8087,0.7099,0.8993,-0.2501,0.3173,0.3547,0.3341,0.5172,0.5781,0.4319,0.7314,0.3659
RandomForestRegressor,0.6372,0.6654,0.7983,0.0149,0.2674,0.3016,0.3110,0.4893,0.5576,0.4714,0.7155,0.3769
GradientBoostingRegressor,0.7982,0.7028,0.8934,-0.2339,0.2349,0.3294,0.3860,0.5372,0.6213,0.3437,0.6976,0.3549
AdaBoostRegressor,0.6737,0.6573,0.8208,-0.0414,0.3061,0.2805,0.3234,0.4692,0.5687,0.4503,0.7205,0.3164
XGBRegressor,0.8373,0.7589,0.9150,-0.2943,0.1962,0.2836,0.3578,0.5286,0.5982,0.3917,0.7174,0.3714
ExtraTreesRegressor,0.6605,0.6628,0.8127,-0.0210,0.3014,0.3180,0.3261,0.4995,0.5710,0.4456,0.7350,0.3494
LinearRegression,1.8336,0.9874,1.3541,-1.8344,-0.0161,0.1256,0.4838,0.5479,0.6955,0.1775,0.7426,0.5034
KNeighborsRegressor,0.6026,0.6162,0.7763,0.0684,0.3574,0.3727,0.3447,0.4690,0.5871,0.4140,0.6453,0.3834
SVR,0.6454,0.6358,0.8034,0.0023,0.2536,0.2482,0.3126,0.4695,0.5591,0.4685,0.7182,0.4209
MLPRegressor,1.3376,0.9130,1.1566,-1.0677,0.1403,0.1560,0.1927,0.3918,0.4390,0.6724,0.8273,0.6025
