,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.5689,0.6356,0.7543,0.1205,0.3732,0.4268,0.3520,0.5043,0.5933,0.4017,0.6478,0.4374
DecisionTreeRegressor,0.7908,0.7004,0.8893,-0.2225,0.2631,0.3437,0.5230,0.5867,0.7232,0.1108,0.6004,0.3054
RandomForestRegressor,0.6339,0.6631,0.7962,0.0200,0.2510,0.2331,0.3067,0.4872,0.5538,0.4787,0.7127,0.3329
GradientBoostingRegressor,0.6524,0.6670,0.8077,-0.0085,0.2847,0.2720,0.2991,0.4615,0.5469,0.4915,0.7494,0.3439
AdaBoostRegressor,0.5955,0.6194,0.7717,0.0794,0.3695,0.3472,0.3019,0.4693,0.5495,0.4867,0.7435,0.3604
XGBRegressor,0.7272,0.6806,0.8528,-0.1242,0.2845,0.2473,0.2722,0.4639,0.5217,0.5373,0.7764,0.3989
ExtraTreesRegressor,0.6128,0.6407,0.7828,0.0528,0.3618,0.3453,0.3330,0.5048,0.5771,0.4338,0.7253,0.3494
LinearRegression,1.4614,0.8733,1.2089,-1.2591,0.1213,0.2206,0.5443,0.5546,0.7377,0.0747,0.7306,0.5089
KNeighborsRegressor,0.6446,0.6277,0.8029,0.0036,0.3111,0.3154,0.3445,0.4684,0.5869,0.4143,0.6455,0.3834
SVR,0.6499,0.6327,0.8062,-0.0046,0.2437,0.2427,0.3151,0.4771,0.5613,0.4644,0.7162,0.4154
MLPRegressor,1.2646,0.8803,1.1245,-0.9548,0.1215,0.1350,0.2557,0.4345,0.5057,0.5652,0.7828,0.5585
