,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.5689,0.6356,0.7543,0.1205,0.3732,0.4268,0.3520,0.5043,0.5933,0.4017,0.6478,0.4374
DecisionTreeRegressor,1.0439,0.7474,1.0217,-0.6136,0.0828,0.1914,0.3952,0.5624,0.6286,0.3282,0.6884,0.3494
RandomForestRegressor,0.6209,0.6574,0.7880,0.0401,0.2795,0.2783,0.3002,0.4847,0.5479,0.4896,0.7172,0.3329
GradientBoostingRegressor,0.6643,0.6710,0.8150,-0.0269,0.2614,0.2445,0.2856,0.4606,0.5345,0.5144,0.7596,0.3329
AdaBoostRegressor,0.6278,0.6222,0.7923,0.0296,0.3270,0.3204,0.3380,0.4779,0.5814,0.4254,0.7007,0.2889
XGBRegressor,0.7272,0.6806,0.8528,-0.1242,0.2845,0.2473,0.2722,0.4639,0.5217,0.5373,0.7764,0.3989
ExtraTreesRegressor,0.6327,0.6560,0.7954,0.0219,0.3420,0.3455,0.3436,0.5122,0.5862,0.4158,0.7151,0.3494
LinearRegression,1.4614,0.8733,1.2089,-1.2591,0.1213,0.2206,0.5443,0.5546,0.7377,0.0747,0.7306,0.5089
KNeighborsRegressor,0.6446,0.6277,0.8029,0.0036,0.3111,0.3154,0.3445,0.4684,0.5869,0.4143,0.6455,0.3834
SVR,0.6499,0.6327,0.8062,-0.0047,0.2437,0.2427,0.3151,0.4771,0.5613,0.4644,0.7162,0.4154
MLPRegressor,1.2783,0.8651,1.1306,-0.9761,0.1567,0.1666,0.5772,0.5941,0.7597,0.0188,0.6125,0.4154
