,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.6144,0.6330,0.7839,0.0502,0.2600,0.3210,0.3853,0.5321,0.6207,0.3451,0.6541,0.5096
DecisionTreeRegressor,1.2977,0.8937,1.1392,-1.0061,0.1172,0.2267,0.3965,0.5358,0.6297,0.3260,0.6943,0.3274
RandomForestRegressor,0.7069,0.6854,0.8408,-0.0927,0.2157,0.2519,0.3114,0.4802,0.5580,0.4706,0.7130,0.3604
GradientBoostingRegressor,0.9661,0.7816,0.9829,-0.4934,0.1290,0.1707,0.3572,0.4835,0.5977,0.3927,0.7209,0.4539
AdaBoostRegressor,0.7967,0.7064,0.8926,-0.2315,0.2161,0.2615,0.2981,0.4464,0.5460,0.4933,0.7324,0.3879
XGBRegressor,1.0072,0.8138,1.0036,-0.5569,0.0438,0.0625,0.4038,0.5400,0.6354,0.3136,0.7114,0.3879
ExtraTreesRegressor,0.8096,0.7086,0.8998,-0.2516,0.1956,0.2083,0.3799,0.5331,0.6164,0.3541,0.7062,0.3439
LinearRegression,3.1917,1.2767,1.7865,-3.9339,0.1092,0.0432,1.3923,0.8926,1.1800,-1.3670,0.3615,0.1953
KNeighborsRegressor,0.6755,0.6557,0.8219,-0.0442,0.2830,0.3192,0.3357,0.4399,0.5794,0.4293,0.6572,0.4711
SVR,0.6259,0.6268,0.7911,0.0325,0.2918,0.2408,0.3195,0.4926,0.5652,0.4568,0.6937,0.3989
MLPRegressor,1.2997,0.8620,1.1400,-1.0091,0.0868,0.1529,1.4995,0.8344,1.2245,-1.5492,0.4890,0.4429
