,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.6795,0.6706,0.8243,-0.0504,0.1340,0.2187,0.4107,0.5511,0.6409,0.3018,0.6337,0.3774
DecisionTreeRegressor,1.3350,0.9054,1.1554,-1.0636,0.0841,0.1853,0.4186,0.5316,0.6470,0.2884,0.6834,0.4099
RandomForestRegressor,0.6996,0.6832,0.8364,-0.0815,0.2460,0.3046,0.3208,0.4891,0.5664,0.4547,0.7020,0.3714
GradientBoostingRegressor,0.9325,0.7675,0.9657,-0.4415,0.1575,0.2121,0.3590,0.4923,0.5992,0.3897,0.7172,0.3879
AdaBoostRegressor,0.7416,0.6837,0.8611,-0.1464,0.2566,0.3220,0.3088,0.4459,0.5557,0.4750,0.7244,0.3879
XGBRegressor,0.9844,0.7822,0.9922,-0.5218,0.0879,0.1402,0.4010,0.5333,0.6333,0.3183,0.7091,0.3769
ExtraTreesRegressor,0.8288,0.7215,0.9104,-0.2812,0.1972,0.2321,0.3791,0.5344,0.6157,0.3555,0.7142,0.3439
LinearRegression,3.7071,1.3680,1.9254,-4.7307,0.0383,0.0540,0.8383,0.6388,0.9156,-0.4251,0.5393,0.5420
KNeighborsRegressor,0.6909,0.6528,0.8312,-0.0681,0.2637,0.2795,0.3468,0.4659,0.5889,0.4104,0.6422,0.4050
SVR,0.6231,0.6253,0.7894,0.0368,0.3002,0.2536,0.3195,0.4905,0.5653,0.4568,0.6935,0.4154
MLPRegressor,1.3419,0.8902,1.1584,-1.0744,0.1409,0.1769,0.8694,0.6436,0.9324,-0.4781,0.6942,0.7125
