,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.6144,0.6330,0.7839,0.0502,0.2600,0.3210,0.3853,0.5321,0.6207,0.3451,0.6541,0.5096
DecisionTreeRegressor,1.0600,0.8123,1.0296,-0.6386,0.1074,0.1519,0.3866,0.4691,0.6218,0.3427,0.6941,0.4484
RandomForestRegressor,0.6982,0.6791,0.8356,-0.0792,0.2282,0.2721,0.3064,0.4785,0.5536,0.4791,0.7159,0.3879
GradientBoostingRegressor,0.9427,0.7781,0.9709,-0.4573,0.1334,0.1570,0.3377,0.4791,0.5811,0.4259,0.7391,0.4814
AdaBoostRegressor,0.7760,0.7089,0.8809,-0.1996,0.2202,0.2704,0.3085,0.4474,0.5555,0.4755,0.7321,0.3329
XGBRegressor,1.0072,0.8138,1.0036,-0.5569,0.0438,0.0625,0.4038,0.5400,0.6354,0.3136,0.7114,0.3879
ExtraTreesRegressor,0.7916,0.7043,0.8897,-0.2237,0.2105,0.2173,0.3716,0.5282,0.6096,0.3682,0.7173,0.3439
LinearRegression,3.1917,1.2767,1.7865,-3.9339,0.1092,0.0432,1.3923,0.8926,1.1800,-1.3670,0.3615,0.1953
KNeighborsRegressor,0.6755,0.6557,0.8219,-0.0442,0.2830,0.3192,0.3357,0.4399,0.5794,0.4293,0.6572,0.4711
SVR,0.6259,0.6268,0.7911,0.0325,0.2918,0.2408,0.3195,0.4925,0.5652,0.4569,0.6937,0.3989
MLPRegressor,1.2581,0.8652,1.1216,-0.9448,0.1267,0.1700,0.2950,0.4322,0.5431,0.4985,0.7766,0.6245
