,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.7938,0.7692,0.8909,-0.2271,-0.0321,-0.0042,0.4823,0.5315,0.6944,0.1802,0.4247,0.4512
DecisionTreeRegressor,1.0377,0.7786,1.0187,-0.6041,0.1998,0.2571,0.5499,0.5483,0.7415,0.0652,0.4932,0.3824
RandomForestRegressor,0.4650,0.5308,0.6819,0.2812,0.5458,0.5743,0.3092,0.4541,0.5561,0.4743,0.7124,0.5695
GradientBoostingRegressor,0.5197,0.5649,0.7209,0.1967,0.4713,0.5056,0.3566,0.4990,0.5972,0.3937,0.6379,0.4374
AdaBoostRegressor,0.4328,0.5098,0.6579,0.3310,0.5871,0.6294,0.3322,0.4646,0.5764,0.4352,0.6635,0.5640
XGBRegressor,0.5388,0.5882,0.7340,0.1671,0.4441,0.4449,0.2691,0.4322,0.5187,0.5425,0.7561,0.5970
ExtraTreesRegressor,0.5175,0.5774,0.7194,0.2000,0.4477,0.4319,0.3501,0.4705,0.5917,0.4048,0.6445,0.5420
LinearRegression,0.8622,0.7315,0.9285,-0.3328,0.2747,0.2037,0.9529,0.8123,0.9762,-0.6199,0.3534,0.4044
KNeighborsRegressor,0.5288,0.5841,0.7272,0.1825,0.4437,0.4703,0.5038,0.5720,0.7098,0.1435,0.4008,0.3466
SVR,0.5664,0.5945,0.7526,0.1245,0.3932,0.4216,0.4158,0.4825,0.6448,0.2932,0.5604,0.4429
MLPRegressor,2.5867,1.3417,1.6083,-2.9987,0.0926,0.1510,2.3390,1.2038,1.5294,-2.9764,0.1407,0.0165
