,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.7768,0.7398,0.8814,-0.2008,-0.2926,-0.2533,0.5624,0.6009,0.7500,0.0439,0.2111,0.1376
DecisionTreeRegressor,1.4229,0.9007,1.1929,-1.1996,0.0124,0.0834,0.4126,0.5665,0.6423,0.2986,0.5843,0.2834
RandomForestRegressor,0.8687,0.7345,0.9321,-0.3429,0.0423,0.1092,0.4107,0.5506,0.6408,0.3018,0.5707,0.2091
GradientBoostingRegressor,1.2556,0.8804,1.1206,-0.9410,-0.0511,0.0227,0.5155,0.6224,0.7180,0.1237,0.4177,0.1953
AdaBoostRegressor,1.0699,0.7775,1.0343,-0.6539,-0.0427,0.1254,0.4363,0.5618,0.6605,0.2583,0.5174,0.3356
XGBRegressor,1.0532,0.7750,1.0263,-0.6282,0.1043,0.1739,0.5620,0.6448,0.7497,0.0445,0.3773,0.2036
ExtraTreesRegressor,1.0092,0.7886,1.0046,-0.5600,0.0395,0.0895,0.4789,0.5916,0.6920,0.1858,0.4426,0.2503
LinearRegression,0.9755,0.7751,0.9877,-0.5080,0.0837,0.1180,0.6175,0.6102,0.7858,-0.0498,0.3717,0.1155
KNeighborsRegressor,0.8682,0.7430,0.9318,-0.3422,0.0884,0.0551,0.5154,0.6615,0.7179,0.1239,0.4066,0.2696
SVR,0.7620,0.7033,0.8729,-0.1780,0.0294,-0.0060,0.5201,0.5702,0.7212,0.1158,0.5170,0.2916
MLPRegressor,3.1026,1.4394,1.7614,-3.7961,-0.0929,-0.1315,2.8285,1.5391,1.6818,-3.8086,-0.1579,-0.1155
