,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.7876,0.7662,0.8875,-0.2175,-0.0235,0.0038,0.4822,0.5304,0.6944,0.1802,0.4249,0.4512
DecisionTreeRegressor,0.6503,0.6583,0.8064,-0.0052,0.3902,0.3713,0.6434,0.6643,0.8021,-0.0937,0.3992,0.2448
RandomForestRegressor,0.4672,0.5377,0.6835,0.2777,0.5413,0.5753,0.3142,0.4644,0.5606,0.4658,0.7078,0.5640
GradientBoostingRegressor,0.4946,0.5495,0.7033,0.2355,0.5029,0.5501,0.3540,0.4940,0.5950,0.3982,0.6402,0.4649
AdaBoostRegressor,0.5108,0.5401,0.7147,0.2104,0.4737,0.5261,0.3492,0.4692,0.5909,0.4063,0.6402,0.5695
XGBRegressor,0.5250,0.5823,0.7246,0.1884,0.4610,0.4454,0.2593,0.4195,0.5092,0.5592,0.7639,0.5970
ExtraTreesRegressor,0.4915,0.5646,0.7011,0.2401,0.4929,0.5137,0.3393,0.4629,0.5825,0.4232,0.6604,0.5420
LinearRegression,0.9531,0.7966,0.9763,-0.4733,0.2097,0.1330,1.0875,0.8369,1.0428,-0.8488,0.3468,0.3879
KNeighborsRegressor,0.5038,0.5542,0.7098,0.2212,0.4781,0.5236,0.4736,0.5421,0.6882,0.1949,0.4497,0.3576
SVR,0.5677,0.5932,0.7535,0.1224,0.3938,0.4004,0.4185,0.4899,0.6469,0.2886,0.5487,0.4154
MLPRegressor,2.1748,1.2334,1.4747,-2.3619,0.1230,0.0937,1.8700,1.0882,1.3675,-2.1790,0.1360,-0.0055
