,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.5171,0.5899,0.7191,0.2006,0.4706,0.4637,0.5170,0.6282,0.7190,0.1211,0.4435,0.4127
DecisionTreeRegressor,0.7205,0.6168,0.8488,-0.1137,0.4481,0.4537,0.5667,0.6606,0.7528,0.0366,0.4574,0.3471
RandomForestRegressor,0.5110,0.5717,0.7148,0.2101,0.4740,0.5161,0.4688,0.5945,0.6847,0.2030,0.5229,0.4374
GradientBoostingRegressor,0.6616,0.6240,0.8134,-0.0227,0.3542,0.3563,0.4187,0.5545,0.6470,0.2883,0.5879,0.4264
AdaBoostRegressor,0.6156,0.6426,0.7846,0.0483,0.3660,0.3823,0.4878,0.6087,0.6984,0.1708,0.5538,0.4209
XGBRegressor,0.6124,0.6143,0.7825,0.0534,0.4189,0.4336,0.5025,0.5875,0.7089,0.1457,0.5517,0.4319
ExtraTreesRegressor,0.5457,0.5878,0.7387,0.1565,0.4488,0.4196,0.4586,0.5729,0.6772,0.2204,0.5984,0.4209
LinearRegression,5.0916,1.6532,2.2565,-6.8708,-0.0433,0.0163,2.4853,1.3465,1.5765,-3.2250,0.2458,0.0248
KNeighborsRegressor,0.6412,0.6220,0.8007,0.0089,0.3256,0.3644,0.5822,0.6814,0.7630,0.0102,0.3936,0.3283
SVR,0.6208,0.6227,0.7879,0.0403,0.3086,0.3853,0.5178,0.6335,0.7196,0.1197,0.4303,0.3989
MLPRegressor,1.3140,0.9179,1.1463,-1.0312,0.2824,0.2186,0.7024,0.6584,0.8381,-0.1941,0.4399,0.4154
