,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.5104,0.5927,0.7144,0.2110,0.4614,0.4925,0.3504,0.5017,0.5920,0.4043,0.6594,0.4099
DecisionTreeRegressor,1.3525,0.9610,1.1630,-1.0908,-0.0735,-0.0516,0.2790,0.4246,0.5282,0.5258,0.7456,0.4869
RandomForestRegressor,0.6000,0.6405,0.7746,0.0726,0.3251,0.3842,0.3128,0.4837,0.5593,0.4681,0.6944,0.3659
GradientBoostingRegressor,0.7582,0.7284,0.8707,-0.1721,0.1947,0.1975,0.2862,0.4437,0.5349,0.5135,0.7180,0.3384
AdaBoostRegressor,0.6557,0.6652,0.8097,-0.0135,0.2944,0.3399,0.3483,0.4844,0.5902,0.4079,0.6586,0.3384
XGBRegressor,0.8099,0.7696,0.9000,-0.2520,0.1603,0.1432,0.2727,0.4313,0.5222,0.5364,0.7377,0.2558
ExtraTreesRegressor,0.6329,0.6697,0.7955,0.0217,0.3131,0.3159,0.2871,0.4421,0.5358,0.5120,0.7198,0.3439
LinearRegression,3.1348,1.3427,1.7705,-3.8459,0.0901,0.1705,2.4952,1.3181,1.5796,-3.2419,0.1334,0.0193
KNeighborsRegressor,0.7456,0.6815,0.8635,-0.1525,0.2308,0.2899,0.4538,0.5956,0.6736,0.2285,0.5311,0.3085
SVR,0.6645,0.6673,0.8152,-0.0272,0.2206,0.2724,0.3456,0.5142,0.5879,0.4124,0.6654,0.4209
MLPRegressor,1.9401,1.1249,1.3929,-1.9991,0.0795,0.1392,0.5028,0.5365,0.7091,0.1453,0.6891,0.6080
