,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.4784,0.5645,0.6916,0.2605,0.5151,0.5155,0.4617,0.5599,0.6795,0.2150,0.4815,0.3714
DecisionTreeRegressor,0.8650,0.7336,0.9301,-0.3372,0.3658,0.3800,0.5506,0.6033,0.7420,0.0640,0.4514,0.3521
RandomForestRegressor,0.4886,0.5716,0.6990,0.2447,0.5094,0.5282,0.4499,0.5656,0.6708,0.2351,0.4907,0.3824
GradientBoostingRegressor,0.5317,0.6052,0.7292,0.1781,0.4867,0.4563,0.4737,0.5714,0.6883,0.1946,0.4791,0.3384
AdaBoostRegressor,0.5478,0.6023,0.7401,0.1532,0.4515,0.5053,0.4971,0.6056,0.7050,0.1549,0.4259,0.3604
XGBRegressor,0.6571,0.6505,0.8106,-0.0157,0.3964,0.3856,0.5276,0.6101,0.7264,0.1030,0.4017,0.3659
ExtraTreesRegressor,0.4702,0.5471,0.6857,0.2731,0.5336,0.5712,0.4761,0.5942,0.6900,0.1906,0.4698,0.3109
LinearRegression,2.9119,1.2046,1.7064,-3.5013,0.0451,0.0906,1.3898,1.0218,1.1789,-1.3627,0.1644,0.1541
KNeighborsRegressor,0.5537,0.6062,0.7441,0.1441,0.4516,0.4897,0.3855,0.5517,0.6209,0.3447,0.6018,0.4711
SVR,0.5429,0.5821,0.7368,0.1607,0.4388,0.4422,0.4772,0.5817,0.6908,0.1888,0.4602,0.4154
MLPRegressor,0.9814,0.7897,0.9907,-0.5171,0.4680,0.3804,0.8275,0.7170,0.9097,-0.4068,0.4942,0.4319
