,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.6859,0.7022,0.8282,-0.0604,0.1121,0.1744,0.4641,0.5902,0.6812,0.2111,0.4866,0.4408
DecisionTreeRegressor,1.3223,0.8992,1.1499,-1.0441,0.0921,0.1744,0.4442,0.6020,0.6665,0.2448,0.6686,0.4044
RandomForestRegressor,0.7195,0.6877,0.8482,-0.1122,0.1795,0.2169,0.2572,0.4442,0.5072,0.5627,0.7549,0.3384
GradientBoostingRegressor,0.9941,0.7879,0.9970,-0.5367,0.0889,0.1733,0.3477,0.5147,0.5897,0.4089,0.7100,0.3494
AdaBoostRegressor,0.7080,0.6711,0.8414,-0.0945,0.2424,0.2960,0.2536,0.4308,0.5036,0.5688,0.7637,0.4044
XGBRegressor,1.0337,0.7926,1.0167,-0.5980,0.1139,0.1784,0.2862,0.4573,0.5350,0.5135,0.7589,0.5254
ExtraTreesRegressor,1.0775,0.8118,1.0380,-0.6656,0.0910,0.1533,0.3711,0.5230,0.6092,0.3691,0.7013,0.3934
LinearRegression,1.2517,0.8227,1.1188,-0.9350,0.1099,0.1722,0.6979,0.6548,0.8354,-0.1864,0.6201,0.4869
KNeighborsRegressor,0.7367,0.6927,0.8583,-0.1389,0.1940,0.2564,0.3412,0.5067,0.5842,0.4199,0.6594,0.3604
SVR,0.7238,0.6942,0.8508,-0.1190,0.0642,0.0709,0.3692,0.5095,0.6076,0.3724,0.6485,0.5144
MLPRegressor,1.9724,1.1055,1.4044,-2.0490,0.0217,0.0459,0.3237,0.5048,0.5690,0.4497,0.7466,0.6080
