,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.6859,0.7022,0.8282,-0.0604,0.1121,0.1744,0.4641,0.5902,0.6812,0.2111,0.4866,0.4408
DecisionTreeRegressor,1.2508,0.8872,1.1184,-0.9336,0.1248,0.1626,0.4415,0.5841,0.6645,0.2494,0.6629,0.4044
RandomForestRegressor,0.7375,0.7025,0.8588,-0.1400,0.1544,0.1797,0.2640,0.4502,0.5138,0.5511,0.7475,0.3384
GradientBoostingRegressor,0.9869,0.7881,0.9934,-0.5256,0.0853,0.1348,0.3372,0.5100,0.5807,0.4267,0.7196,0.3494
AdaBoostRegressor,0.6947,0.6800,0.8335,-0.0739,0.2326,0.2835,0.2603,0.4427,0.5102,0.5575,0.7586,0.3659
XGBRegressor,1.0337,0.7926,1.0167,-0.5980,0.1139,0.1784,0.2862,0.4573,0.5350,0.5135,0.7589,0.5254
ExtraTreesRegressor,1.0782,0.8126,1.0384,-0.6667,0.0936,0.1396,0.3686,0.5229,0.6071,0.3734,0.7054,0.3934
LinearRegression,1.2517,0.8227,1.1188,-0.9350,0.1099,0.1722,0.6979,0.6548,0.8354,-0.1864,0.6201,0.4869
KNeighborsRegressor,0.7367,0.6927,0.8583,-0.1389,0.1940,0.2564,0.3412,0.5067,0.5842,0.4199,0.6594,0.3604
SVR,0.7239,0.6942,0.8508,-0.1190,0.0642,0.0709,0.3692,0.5095,0.6076,0.3723,0.6485,0.5144
MLPRegressor,1.8877,1.0685,1.3739,-1.9181,0.0497,0.0653,0.4531,0.5451,0.6731,0.2297,0.6795,0.5475
