,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.6212,0.6565,0.7882,0.0397,0.2280,0.1734,0.4333,0.5746,0.6583,0.2633,0.5732,0.3269
DecisionTreeRegressor,0.9301,0.7519,0.9644,-0.4378,0.2993,0.3055,0.3806,0.5518,0.6169,0.3529,0.6908,0.2779
RandomForestRegressor,0.7170,0.6866,0.8467,-0.1083,0.2229,0.2530,0.3329,0.4966,0.5770,0.4340,0.6984,0.3329
GradientBoostingRegressor,0.8801,0.7621,0.9381,-0.3605,0.1653,0.1856,0.4070,0.5410,0.6380,0.3080,0.6879,0.3164
AdaBoostRegressor,0.7017,0.6896,0.8377,-0.0848,0.2765,0.2401,0.3408,0.5079,0.5838,0.4206,0.7132,0.2944
XGBRegressor,0.7931,0.6889,0.8906,-0.2260,0.2798,0.2669,0.3873,0.5453,0.6224,0.3415,0.6789,0.3549
ExtraTreesRegressor,0.8526,0.7379,0.9234,-0.3180,0.2058,0.2421,0.3898,0.5471,0.6244,0.3373,0.6918,0.3109
LinearRegression,2.6488,1.2609,1.6275,-3.0946,0.2338,0.2745,1.1788,0.8583,1.0857,-1.0039,0.5780,0.4484
KNeighborsRegressor,0.7623,0.6770,0.8731,-0.1784,0.1943,0.1743,0.3902,0.4879,0.6247,0.3366,0.5946,0.2948
SVR,0.6557,0.6224,0.8098,-0.0136,0.2354,0.1637,0.3427,0.4588,0.5854,0.4174,0.7676,0.6740
MLPRegressor,0.8458,0.7277,0.9197,-0.3074,0.1545,0.0994,0.2799,0.4250,0.5291,0.5242,0.7310,0.5475
