,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.6960,0.6868,0.8343,-0.0759,-0.1047,0.0305,0.5304,0.5976,0.7283,0.0984,0.4284,0.3717
DecisionTreeRegressor,0.7538,0.7188,0.8682,-0.1652,0.0282,0.0964,0.4854,0.5620,0.6967,0.1748,0.4377,0.3379
RandomForestRegressor,0.7512,0.7178,0.8667,-0.1612,0.0264,0.0964,0.4867,0.5629,0.6977,0.1726,0.4381,0.3379
GradientBoostingRegressor,0.7538,0.7188,0.8682,-0.1652,0.0282,0.0964,0.4854,0.5620,0.6967,0.1748,0.4377,0.3379
AdaBoostRegressor,0.8105,0.7518,0.9003,-0.2530,-0.0227,0.0484,0.4782,0.5622,0.6915,0.1870,0.4404,0.3379
XGBRegressor,0.7536,0.7187,0.8681,-0.1649,0.0282,0.0964,0.4854,0.5620,0.6967,0.1748,0.4377,0.3379
ExtraTreesRegressor,0.7538,0.7188,0.8682,-0.1652,0.0282,0.0964,0.4854,0.5620,0.6967,0.1748,0.4377,0.3379
LinearRegression,0.7550,0.7188,0.8689,-0.1671,0.0294,0.0946,0.4854,0.5620,0.6967,0.1748,0.4377,0.3379
KNeighborsRegressor,0.8827,0.7893,0.9395,-0.3645,-0.0576,0.0446,0.6854,0.6521,0.8279,-0.1652,0.0991,0.1824
SVR,0.7278,0.6642,0.8531,-0.1250,0.0597,0.0846,0.5789,0.5773,0.7609,0.0158,0.3589,0.3619
MLPRegressor,0.9598,0.7554,0.9797,-0.4837,-0.1727,-0.0280,0.5046,0.5875,0.7104,0.1422,0.4407,0.2599
