,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.7844,0.7307,0.8857,-0.2126,-0.1428,-0.0731,0.5262,0.5746,0.7254,0.1054,0.3337,0.2928
DecisionTreeRegressor,0.9775,0.7711,0.9887,-0.5110,0.2115,0.2734,0.3713,0.5238,0.6094,0.3688,0.6759,0.3659
RandomForestRegressor,0.7518,0.7041,0.8671,-0.1622,0.1383,0.2032,0.2572,0.4463,0.5072,0.5627,0.7524,0.3769
GradientBoostingRegressor,1.0399,0.8056,1.0197,-0.6075,-0.0248,-0.0317,0.3848,0.5468,0.6203,0.3458,0.6833,0.4264
AdaBoostRegressor,0.8571,0.7587,0.9258,-0.3250,0.0457,0.0214,0.2641,0.4260,0.5139,0.5510,0.7503,0.4209
XGBRegressor,1.1280,0.8403,1.0621,-0.7437,0.0306,0.0482,0.3314,0.4894,0.5757,0.4365,0.6981,0.4649
ExtraTreesRegressor,0.8863,0.7433,0.9415,-0.3701,0.1371,0.1782,0.4085,0.5534,0.6392,0.3055,0.6728,0.3879
LinearRegression,1.3863,0.8953,1.1774,-1.1431,0.1079,0.1668,0.7527,0.6573,0.8676,-0.2796,0.5319,0.4374
KNeighborsRegressor,0.8014,0.7430,0.8952,-0.2388,0.1485,0.2365,0.4625,0.5464,0.6801,0.2137,0.5326,0.3136
SVR,0.7349,0.6977,0.8573,-0.1361,0.0468,0.0245,0.3367,0.4951,0.5803,0.4276,0.6834,0.5695
MLPRegressor,1.9318,1.0834,1.3899,-1.9863,0.0083,0.0544,0.5717,0.6164,0.7561,0.0281,0.6428,0.5034
