,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.6869,0.6819,0.8288,-0.0618,-0.3293,-0.3067,0.5884,0.6227,0.7670,-0.0002,nan,nan
DecisionTreeRegressor,0.7319,0.7177,0.8555,-0.1315,0.1132,0.1344,0.4827,0.5730,0.6948,0.1793,0.4322,0.3037
RandomForestRegressor,0.6943,0.7055,0.8332,-0.0733,0.1474,0.1642,0.4841,0.5754,0.6958,0.1770,0.4301,0.3037
GradientBoostingRegressor,0.7319,0.7177,0.8555,-0.1315,0.1132,0.1344,0.4827,0.5730,0.6948,0.1793,0.4322,0.3037
AdaBoostRegressor,0.6977,0.7020,0.8353,-0.0786,0.1971,0.1695,0.4824,0.5710,0.6945,0.1800,0.4336,0.3037
XGBRegressor,0.7314,0.7175,0.8552,-0.1307,0.1136,0.1344,0.4827,0.5730,0.6948,0.1794,0.4322,0.3037
ExtraTreesRegressor,0.7319,0.7177,0.8555,-0.1315,0.1132,0.1344,0.4827,0.5730,0.6948,0.1793,0.4322,0.3037
LinearRegression,0.6732,0.6916,0.8205,-0.0407,0.1887,0.1825,0.4804,0.5688,0.6931,0.1832,0.4355,0.3037
KNeighborsRegressor,0.9268,0.8008,0.9627,-0.4328,-0.0824,-0.0016,0.6730,0.6327,0.8204,-0.1441,0.1582,0.2512
SVR,0.6976,0.6622,0.8353,-0.0785,0.1448,0.1258,0.5607,0.5876,0.7488,0.0468,0.4015,0.3271
MLPRegressor,1.1112,0.8079,1.0541,-0.7178,0.0432,0.0764,0.5554,0.5924,0.7453,0.0558,0.2990,0.3797
