,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.7231,0.7020,0.8503,-0.1177,-0.1799,-0.0669,0.5326,0.5985,0.7298,0.0946,0.4068,0.3840
DecisionTreeRegressor,0.9944,0.8008,0.9972,-0.5372,0.0568,0.1389,0.6071,0.6793,0.7792,-0.0322,0.4472,0.2510
RandomForestRegressor,0.8390,0.7594,0.9160,-0.2970,0.0299,0.0834,0.4963,0.6026,0.7045,0.1563,0.4770,0.3884
GradientBoostingRegressor,0.9208,0.7705,0.9596,-0.4234,0.0518,0.0865,0.5408,0.6300,0.7354,0.0806,0.4484,0.3884
AdaBoostRegressor,0.8386,0.7663,0.9157,-0.2963,0.1442,0.1359,0.5007,0.5931,0.7076,0.1489,0.4870,0.3779
XGBRegressor,0.9884,0.7985,0.9942,-0.5280,0.0436,0.0835,0.5795,0.6521,0.7613,0.0148,0.4231,0.2645
ExtraTreesRegressor,0.9994,0.8021,0.9997,-0.5449,0.0617,0.1451,0.5955,0.6698,0.7717,-0.0124,0.4526,0.2810
LinearRegression,1.1449,0.8181,1.0700,-0.7698,-0.0286,0.0304,0.4158,0.5470,0.6449,0.2931,0.5683,0.4380
KNeighborsRegressor,0.8063,0.7114,0.8979,-0.2464,-0.0324,-0.0060,0.5807,0.5660,0.7620,0.0128,0.3561,0.3945
SVR,0.7777,0.7149,0.8819,-0.2022,-0.0206,-0.0196,0.5095,0.5453,0.7138,0.1338,0.4619,0.4160
MLPRegressor,1.4669,0.9455,1.2111,-1.2676,-0.0714,-0.0407,0.3975,0.5385,0.6305,0.3242,0.6124,0.4545
