,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.7008,0.6920,0.8371,-0.0833,-0.0272,0.0291,0.5073,0.5769,0.7122,0.1376,0.4284,0.4501
DecisionTreeRegressor,0.8757,0.7525,0.9358,-0.3537,0.0781,0.1715,0.5264,0.6152,0.7256,0.1050,0.4480,0.3679
RandomForestRegressor,0.8132,0.7496,0.9018,-0.2571,0.0604,0.1397,0.4877,0.5918,0.6983,0.1710,0.4611,0.3287
GradientBoostingRegressor,0.8712,0.7638,0.9334,-0.3467,0.0685,0.1256,0.4791,0.5732,0.6922,0.1855,0.4889,0.3729
AdaBoostRegressor,0.8835,0.7908,0.9399,-0.3658,0.0628,0.1065,0.5008,0.6195,0.7077,0.1487,0.4370,0.3232
XGBRegressor,0.8555,0.7449,0.9250,-0.3225,0.0884,0.1529,0.5443,0.6320,0.7378,0.0746,0.3897,0.1796
ExtraTreesRegressor,0.8567,0.7445,0.9256,-0.3244,0.0992,0.1849,0.5228,0.6026,0.7231,0.1112,0.4595,0.3840
LinearRegression,1.0138,0.7989,1.0069,-0.5672,0.0275,0.0786,0.4819,0.5888,0.6942,0.1808,0.5008,0.4392
KNeighborsRegressor,0.7671,0.7000,0.8759,-0.1859,0.0561,0.0518,0.6029,0.6190,0.7765,-0.0249,0.2452,0.4122
SVR,0.7676,0.7088,0.8761,-0.1865,-0.0079,-0.0076,0.5144,0.5438,0.7172,0.1256,0.4485,0.4061
MLPRegressor,1.4228,0.9201,1.1928,-1.1994,-0.0757,0.0071,0.4188,0.5403,0.6471,0.2881,0.6001,0.4171
