,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.7037,0.6888,0.8388,-0.0877,-0.1242,0.0451,0.5315,0.5999,0.7291,0.0964,0.4084,0.3294
DecisionTreeRegressor,0.9848,0.7955,0.9924,-0.5223,-0.0000,-0.0230,0.3912,0.5149,0.6255,0.3349,0.5855,0.3923
RandomForestRegressor,0.8432,0.7617,0.9183,-0.3035,-0.0127,0.0584,0.4003,0.5372,0.6327,0.3194,0.5823,0.3591
GradientBoostingRegressor,0.9554,0.7930,0.9775,-0.4769,-0.0295,-0.0026,0.3963,0.5316,0.6295,0.3263,0.5739,0.3923
AdaBoostRegressor,0.7409,0.7337,0.8607,-0.1452,0.1086,0.1708,0.3929,0.5297,0.6268,0.3320,0.5847,0.3702
XGBRegressor,0.9296,0.7793,0.9641,-0.4370,-0.0032,0.0038,0.4109,0.5528,0.6410,0.3015,0.5504,0.2873
ExtraTreesRegressor,0.9829,0.7967,0.9914,-0.5194,-0.0251,-0.0291,0.3990,0.5282,0.6316,0.3218,0.5711,0.3923
LinearRegression,0.8642,0.7506,0.9296,-0.3359,0.0659,0.1084,0.4189,0.5606,0.6472,0.2878,0.5534,0.4088
KNeighborsRegressor,0.8668,0.7656,0.9310,-0.3400,-0.0281,-0.0282,0.5632,0.5597,0.7505,0.0425,0.3367,0.3591
SVR,0.7731,0.7110,0.8793,-0.1951,-0.0188,0.0118,0.4916,0.5312,0.7011,0.1643,0.4831,0.3978
MLPRegressor,1.5800,1.0513,1.2570,-1.4424,-0.0820,-0.0582,0.5167,0.6030,0.7188,0.1216,0.4842,0.4696
