,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.7623,0.7334,0.8731,-0.1785,-0.0296,0.0596,0.4757,0.5762,0.6897,0.1913,0.4550,0.4558
DecisionTreeRegressor,1.0967,0.7905,1.0472,-0.6953,0.2017,0.2662,0.5088,0.5800,0.7133,0.1350,0.6362,0.4738
RandomForestRegressor,0.6629,0.6560,0.8142,-0.0247,0.2613,0.2825,0.3150,0.4920,0.5613,0.4645,0.6928,0.3471
GradientBoostingRegressor,0.8595,0.7102,0.9271,-0.3287,0.2016,0.2302,0.4566,0.5717,0.6757,0.2239,0.6511,0.4187
AdaBoostRegressor,0.6489,0.6456,0.8056,-0.0032,0.3153,0.3564,0.3100,0.4914,0.5568,0.4729,0.7246,0.4077
XGBRegressor,0.8724,0.7256,0.9340,-0.3487,0.2453,0.3061,0.3793,0.5184,0.6159,0.3551,0.6905,0.5289
ExtraTreesRegressor,0.8470,0.7106,0.9203,-0.3094,0.1986,0.2199,0.4368,0.5635,0.6609,0.2574,0.6596,0.4518
LinearRegression,1.1626,0.8145,1.0782,-0.7972,0.0111,0.0509,1.2889,0.7265,1.1353,-1.1912,0.5051,0.4793
KNeighborsRegressor,0.7410,0.6908,0.8608,-0.1454,0.2466,0.3258,0.4180,0.5287,0.6465,0.2894,0.5666,0.3204
SVR,0.6763,0.6596,0.8223,-0.0454,0.1671,0.1417,0.3454,0.5253,0.5877,0.4128,0.6625,0.3802
MLPRegressor,1.7293,0.9923,1.3150,-1.6732,0.0067,0.0511,0.3838,0.4609,0.6195,0.3476,0.7267,0.6391
