,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.7764,0.7259,0.8811,-0.2002,-0.1743,-0.1977,0.5657,0.5860,0.7521,0.0383,0.2047,0.2103
DecisionTreeRegressor,0.9239,0.6805,0.9612,-0.4282,0.2791,0.3538,0.2490,0.4425,0.4990,0.5767,0.7619,0.6298
RandomForestRegressor,0.7204,0.6628,0.8488,-0.1137,0.2405,0.2982,0.1941,0.3839,0.4406,0.6700,0.8358,0.7228
GradientBoostingRegressor,0.9472,0.7335,0.9733,-0.4643,0.1228,0.1876,0.1961,0.3925,0.4428,0.6666,0.8203,0.6234
AdaBoostRegressor,0.7880,0.7035,0.8877,-0.2181,0.1957,0.2251,0.1869,0.3746,0.4323,0.6823,0.8344,0.6179
XGBRegressor,0.9422,0.7118,0.9707,-0.4565,0.2095,0.2675,0.1979,0.3890,0.4448,0.6636,0.8185,0.6566
ExtraTreesRegressor,0.9183,0.6607,0.9583,-0.4196,0.2457,0.3279,0.2383,0.4264,0.4882,0.5949,0.7739,0.7062
LinearRegression,1.4481,0.9169,1.2034,-1.2385,0.0009,0.0157,0.4075,0.5714,0.6384,0.3072,0.6499,0.5572
KNeighborsRegressor,0.7973,0.7288,0.8929,-0.2325,0.1925,0.2836,0.4118,0.5126,0.6417,0.3000,0.6337,0.2873
SVR,0.7207,0.6888,0.8489,-0.1141,0.0698,0.0721,0.3877,0.5271,0.6227,0.3409,0.6145,0.6069
MLPRegressor,1.6815,0.9556,1.2967,-1.5994,-0.0124,0.0017,0.1949,0.4024,0.4415,0.6686,0.8414,0.6510
