,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.7695,0.7186,0.8772,-0.1896,-0.1656,-0.1820,0.5657,0.5871,0.7521,0.0383,0.2038,0.2103
DecisionTreeRegressor,1.0227,0.7926,1.0113,-0.5809,0.0742,0.1474,0.3916,0.5347,0.6258,0.3342,0.5928,0.4690
RandomForestRegressor,0.8453,0.7543,0.9194,-0.3067,0.0604,0.1128,0.4321,0.5515,0.6573,0.2655,0.5342,0.3255
GradientBoostingRegressor,1.0106,0.7726,1.0053,-0.5623,-0.0217,0.0228,0.4066,0.5280,0.6376,0.3088,0.5710,0.4745
AdaBoostRegressor,0.8100,0.7571,0.9000,-0.2521,0.1300,0.2009,0.4400,0.5868,0.6634,0.2519,0.5150,0.2703
XGBRegressor,0.9671,0.7906,0.9834,-0.4950,0.0048,0.0533,0.4413,0.5647,0.6643,0.2498,0.5171,0.4359
ExtraTreesRegressor,1.0412,0.8008,1.0204,-0.6095,0.0473,0.1064,0.4131,0.5405,0.6428,0.2977,0.5653,0.4359
LinearRegression,0.8604,0.6987,0.9276,-0.3300,0.1589,0.3216,0.5144,0.6177,0.7172,0.1256,0.5591,0.4248
KNeighborsRegressor,0.9168,0.7714,0.9575,-0.4173,0.0711,0.1530,0.5381,0.5565,0.7335,0.0852,0.4555,0.2901
SVR,0.8291,0.7390,0.9106,-0.2817,-0.0549,-0.0594,0.4931,0.5250,0.7022,0.1617,0.4751,0.4028
MLPRegressor,1.4626,0.9455,1.2094,-1.2609,-0.0873,-0.0180,0.3775,0.4814,0.6144,0.3582,0.6496,0.4414
