,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.7445,0.7088,0.8629,-0.1510,-0.0942,-0.0393,0.5459,0.5726,0.7389,0.0719,0.2686,0.2271
DecisionTreeRegressor,0.9207,0.7323,0.9595,-0.4233,0.1887,0.2807,0.3263,0.4973,0.5712,0.4453,0.7380,0.4711
RandomForestRegressor,0.7561,0.6826,0.8696,-0.1689,0.2092,0.3127,0.2173,0.4196,0.4662,0.6305,0.7962,0.4601
GradientBoostingRegressor,0.8936,0.7018,0.9453,-0.3813,0.2221,0.3511,0.2983,0.4905,0.5462,0.4928,0.7724,0.5702
AdaBoostRegressor,0.7112,0.6818,0.8433,-0.0994,0.2119,0.2766,0.2247,0.3999,0.4741,0.6179,0.7919,0.5372
XGBRegressor,0.9075,0.6994,0.9527,-0.4029,0.2162,0.3746,0.3171,0.4895,0.5631,0.4610,0.7264,0.5041
ExtraTreesRegressor,0.9418,0.7338,0.9704,-0.4558,0.1682,0.2768,0.3585,0.5194,0.5988,0.3905,0.7093,0.4601
LinearRegression,1.0265,0.7080,1.0132,-0.5868,0.2650,0.3239,0.5535,0.6196,0.7440,0.0590,0.5950,0.3994
KNeighborsRegressor,0.7691,0.7171,0.8770,-0.1889,0.2225,0.2974,0.4473,0.5219,0.6688,0.2395,0.5528,0.2893
SVR,0.7732,0.7225,0.8793,-0.1952,-0.0060,0.0024,0.3507,0.5081,0.5922,0.4039,0.6622,0.5647
MLPRegressor,1.9714,1.0829,1.4041,-2.0476,-0.0305,0.0069,0.3808,0.5141,0.6171,0.3526,0.7133,0.6245
