,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.6960,0.6868,0.8343,-0.0759,-0.1047,0.0305,0.5304,0.5976,0.7283,0.0984,0.4284,0.3717
DecisionTreeRegressor,0.8744,0.7535,0.9351,-0.3516,0.1181,0.1702,0.3970,0.5575,0.6301,0.3250,0.5862,0.3873
RandomForestRegressor,0.7489,0.7101,0.8654,-0.1577,0.1443,0.1766,0.3776,0.5262,0.6145,0.3581,0.6056,0.3679
GradientBoostingRegressor,0.8690,0.7483,0.9322,-0.3433,0.1101,0.1537,0.3844,0.5437,0.6200,0.3465,0.5965,0.4011
AdaBoostRegressor,0.8041,0.7429,0.8967,-0.2430,0.1033,0.1097,0.3490,0.5033,0.5908,0.4066,0.6521,0.3679
XGBRegressor,0.8323,0.7166,0.9123,-0.2866,0.1487,0.2058,0.3932,0.5547,0.6270,0.3316,0.5904,0.3873
ExtraTreesRegressor,0.8650,0.7461,0.9300,-0.3371,0.1263,0.1764,0.3970,0.5575,0.6301,0.3251,0.5863,0.3873
LinearRegression,0.8498,0.7289,0.9218,-0.3137,0.1314,0.1413,0.3772,0.5189,0.6142,0.3587,0.6040,0.3845
KNeighborsRegressor,0.7581,0.6792,0.8707,-0.1719,0.1431,0.2075,0.5470,0.5862,0.7396,0.0701,0.4153,0.4066
SVR,0.7180,0.6721,0.8474,-0.1100,0.1221,0.0932,0.4550,0.5218,0.6746,0.2264,0.5417,0.4398
MLPRegressor,1.3549,0.8795,1.1640,-1.0944,-0.0284,-0.0003,0.3902,0.5399,0.6247,0.3366,0.6090,0.3679
