,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.6813,0.6884,0.8254,-0.0532,0.0743,0.1752,0.4716,0.5574,0.6867,0.1983,0.5192,0.4101
DecisionTreeRegressor,0.9228,0.7283,0.9606,-0.4265,0.1862,0.2826,0.4878,0.5835,0.6984,0.1707,0.6104,0.3829
RandomForestRegressor,0.6837,0.6620,0.8268,-0.0569,0.2588,0.2755,0.3344,0.4977,0.5783,0.4314,0.6754,0.3802
GradientBoostingRegressor,0.8236,0.7077,0.9075,-0.2731,0.1980,0.2534,0.4014,0.5314,0.6335,0.3177,0.6659,0.5289
AdaBoostRegressor,0.7001,0.6874,0.8367,-0.0823,0.2339,0.1953,0.2652,0.4465,0.5150,0.5491,0.7574,0.4573
XGBRegressor,0.9168,0.7407,0.9575,-0.4172,0.2182,0.3135,0.4759,0.5724,0.6898,0.1910,0.6374,0.4187
ExtraTreesRegressor,0.8139,0.6934,0.9022,-0.2582,0.2424,0.2959,0.4090,0.5417,0.6395,0.3047,0.6706,0.4408
LinearRegression,0.7815,0.6885,0.8840,-0.2080,0.2964,0.2859,0.7821,0.5948,0.8843,-0.3295,0.5789,0.5730
KNeighborsRegressor,0.6696,0.6340,0.8183,-0.0351,0.2981,0.3094,0.3977,0.5026,0.6306,0.3239,0.5834,0.3624
SVR,0.7360,0.6888,0.8579,-0.1377,0.1127,0.0952,0.4415,0.5193,0.6644,0.2495,0.5425,0.4077
MLPRegressor,1.1246,0.7996,1.0605,-0.7385,0.0426,0.0462,0.3972,0.5125,0.6302,0.3248,0.6441,0.3829
