,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.6869,0.6819,0.8288,-0.0618,-0.3293,-0.3067,0.5884,0.6227,0.7670,-0.0002,nan,nan
DecisionTreeRegressor,0.7918,0.6948,0.8898,-0.2240,0.1116,0.1723,0.4880,0.5595,0.6986,0.1704,0.4378,0.3563
RandomForestRegressor,0.7534,0.6977,0.8680,-0.1646,0.0817,0.1408,0.4895,0.5637,0.6996,0.1679,0.4366,0.3037
GradientBoostingRegressor,0.7986,0.7077,0.8936,-0.2345,0.0834,0.1486,0.4901,0.5663,0.7001,0.1668,0.4338,0.3037
AdaBoostRegressor,0.8045,0.7372,0.8969,-0.2436,0.0083,0.0701,0.4944,0.5834,0.7031,0.1596,0.4085,0.3037
XGBRegressor,0.8102,0.7129,0.9001,-0.2525,0.0880,0.1310,0.4880,0.5596,0.6986,0.1704,0.4378,0.3563
ExtraTreesRegressor,0.7941,0.7006,0.8911,-0.2276,0.1049,0.1588,0.4880,0.5595,0.6986,0.1704,0.4378,0.3563
LinearRegression,0.7479,0.6872,0.8648,-0.1562,0.1189,0.1574,0.4930,0.5694,0.7021,0.1619,0.4314,0.3037
KNeighborsRegressor,0.9029,0.7813,0.9502,-0.3958,-0.0022,0.0890,0.6266,0.6128,0.7916,-0.0652,0.2363,0.3092
SVR,0.7302,0.6732,0.8545,-0.1289,0.1182,0.1394,0.5912,0.5839,0.7689,-0.0050,0.3727,0.3271
MLPRegressor,1.1433,0.8536,1.0692,-0.7673,0.0593,0.0567,0.5255,0.6070,0.7249,0.1066,0.3778,0.3563
