,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
ExtraTreesRegressor,0.8601,0.7564,0.9274,-0.3296,0.0965,0.1326,0.4955,0.6429,0.7039,0.1577,0.4428,0.2317
LGBMRegressor,0.7142,0.6874,0.8451,-0.1040,-0.0961,-0.0057,0.5734,0.6093,0.7572,0.0252,0.1643,0.1981
XGBRegressor,0.8357,0.7519,0.9142,-0.2919,0.1066,0.1575,0.5804,0.6872,0.7619,0.0133,0.3488,0.1600
DecisionTreeRegressor,0.8939,0.7768,0.9455,-0.3819,0.0741,0.1111,0.5442,0.6802,0.7377,0.0749,0.3795,0.1600
RandomForestRegressor,0.7738,0.7153,0.8797,-0.1962,0.1169,0.1626,0.4658,0.6137,0.6825,0.2081,0.4734,0.1986
GradientBoostingRegressor,0.8658,0.7665,0.9305,-0.3384,0.0702,0.0792,0.5154,0.6452,0.7179,0.1238,0.4243,0.2648
AdaBoostRegressor,0.6420,0.6607,0.8013,0.0076,0.2842,0.2180,0.4010,0.5458,0.6333,0.3182,0.5672,0.3255
SVR,0.7514,0.6959,0.8668,-0.1615,0.1108,0.1974,0.5653,0.5999,0.7519,0.0390,0.3426,0.3200
LinearRegression,0.6437,0.6500,0.8023,0.0049,0.2687,0.3193,0.6587,0.6629,0.8116,-0.1199,0.2071,0.1710
KNeighborsRegressor,0.7370,0.6871,0.8585,-0.1393,0.2059,0.2896,0.6620,0.6279,0.8136,-0.1254,0.2750,0.4359
MLPRegressor,2.2385,1.2235,1.4961,-2.4603,0.0751,-0.0283,1.6685,1.0622,1.2917,-1.8365,0.0747,0.1692
