,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
ExtraTreesRegressor,0.9191,0.8004,0.9587,-0.4208,0.0563,0.0858,0.5146,0.6357,0.7173,0.1252,0.4230,0.1710
LGBMRegressor,0.7103,0.6855,0.8428,-0.0980,-0.0872,-0.0382,0.5616,0.6033,0.7494,0.0453,0.2513,0.2733
XGBRegressor,0.8803,0.7819,0.9382,-0.3608,0.1149,0.1300,0.5710,0.6658,0.7557,0.0292,0.3601,0.1710
DecisionTreeRegressor,0.8935,0.7805,0.9453,-0.3813,0.0810,0.1225,0.6123,0.6824,0.7825,-0.0409,0.3195,0.0662
RandomForestRegressor,0.7929,0.7376,0.8905,-0.2257,0.1219,0.1717,0.4580,0.5959,0.6767,0.2214,0.4893,0.2152
GradientBoostingRegressor,0.8990,0.7823,0.9482,-0.3897,0.0738,0.1135,0.4839,0.6198,0.6956,0.1774,0.4639,0.2538
AdaBoostRegressor,0.6846,0.6823,0.8274,-0.0583,0.2317,0.1776,0.4010,0.5536,0.6333,0.3183,0.5647,0.2924
SVR,0.7771,0.7354,0.8815,-0.2013,-0.0179,0.0463,0.5337,0.5729,0.7305,0.0928,0.4020,0.2372
LinearRegression,0.6729,0.6570,0.8203,-0.0401,0.2564,0.2745,0.5771,0.6134,0.7597,0.0188,0.3820,0.2538
KNeighborsRegressor,0.8517,0.7793,0.9229,-0.3166,0.0841,0.1607,0.6329,0.6084,0.7955,-0.0759,0.2872,0.2648
MLPRegressor,1.1704,0.8805,1.0818,-0.8092,0.1314,0.0815,1.2284,0.8400,1.1083,-1.0883,0.3224,0.3366
