,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
ExtraTreesRegressor,0.9105,0.7913,0.9542,-0.4075,0.0662,0.0958,0.5027,0.6301,0.7090,0.1454,0.4367,0.1710
LGBMRegressor,0.7103,0.6855,0.8428,-0.0980,-0.0872,-0.0382,0.5616,0.6033,0.7494,0.0453,0.2513,0.2733
XGBRegressor,0.8803,0.7819,0.9382,-0.3608,0.1149,0.1300,0.5710,0.6658,0.7557,0.0292,0.3601,0.1710
DecisionTreeRegressor,0.8846,0.7892,0.9405,-0.3674,0.1210,0.1529,0.5861,0.6714,0.7656,0.0036,0.3416,0.1186
RandomForestRegressor,0.7994,0.7403,0.8941,-0.2358,0.1161,0.1597,0.4479,0.5874,0.6692,0.2386,0.5065,0.2152
GradientBoostingRegressor,0.8959,0.7802,0.9465,-0.3850,0.0762,0.1065,0.4825,0.6189,0.6947,0.1797,0.4651,0.2538
AdaBoostRegressor,0.6927,0.6829,0.8323,-0.0708,0.2134,0.1629,0.4370,0.5747,0.6610,0.2571,0.5126,0.3586
SVR,0.7771,0.7354,0.8815,-0.2013,-0.0179,0.0463,0.5337,0.5730,0.7306,0.0927,0.4019,0.2372
LinearRegression,0.6729,0.6570,0.8203,-0.0401,0.2564,0.2745,0.5771,0.6134,0.7597,0.0188,0.3820,0.2538
KNeighborsRegressor,0.8517,0.7793,0.9229,-0.3166,0.0841,0.1587,0.6329,0.6084,0.7955,-0.0759,0.2872,0.2648
MLPRegressor,1.0649,0.8347,1.0319,-0.6461,0.1772,0.1084,1.2804,0.8772,1.1315,-1.1766,0.2828,0.2345
