,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
ExtraTreesRegressor,0.7330,0.6004,0.8562,-0.1331,0.2581,0.3520,0.3642,0.4812,0.6035,0.3808,0.6495,0.4662
LGBMRegressor,0.6446,0.6796,0.8028,0.0036,0.1308,0.1395,0.5276,0.5751,0.7263,0.1031,0.4182,0.3245
XGBRegressor,0.8510,0.6477,0.9225,-0.3155,0.2543,0.2836,0.2849,0.4069,0.5338,0.5156,0.7517,0.5655
DecisionTreeRegressor,0.9274,0.6765,0.9630,-0.4336,0.1762,0.2434,0.3480,0.4894,0.5899,0.4084,0.6746,0.5048
RandomForestRegressor,0.6588,0.6228,0.8116,-0.0184,0.2437,0.2863,0.3054,0.4776,0.5527,0.4808,0.6955,0.5600
GradientBoostingRegressor,0.7493,0.6204,0.8656,-0.1583,0.2217,0.2691,0.3581,0.5027,0.5984,0.3912,0.6624,0.4662
AdaBoostRegressor,0.7706,0.6881,0.8778,-0.1912,0.0359,0.0470,0.2600,0.4420,0.5099,0.5580,0.7535,0.5986
SVR,0.7647,0.6556,0.8745,-0.1822,0.0480,0.1248,0.4922,0.5599,0.7016,0.1632,0.4749,0.2648
LinearRegression,0.7019,0.6858,0.8378,-0.0850,0.1833,0.1044,0.4294,0.5007,0.6553,0.2700,0.5750,0.6621
KNeighborsRegressor,0.8033,0.7184,0.8963,-0.2418,-0.0628,-0.0163,0.5373,0.6093,0.7330,0.0866,0.3205,0.3122
MLPRegressor,1.4697,0.9222,1.2123,-1.2719,0.0444,0.0818,1.3985,0.8720,1.1826,-1.3775,0.0862,0.3586
