,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
ExtraTreesRegressor,0.7537,0.5905,0.8682,-0.1651,0.2344,0.3590,0.4118,0.5214,0.6417,0.2999,0.6024,0.2865
LGBMRegressor,0.6446,0.6796,0.8028,0.0036,0.1308,0.1395,0.5276,0.5751,0.7263,0.1031,0.4182,0.3245
XGBRegressor,0.8507,0.6431,0.9224,-0.3151,0.2721,0.3560,0.3258,0.4432,0.5708,0.4462,0.7110,0.4628
DecisionTreeRegressor,0.8154,0.6095,0.9030,-0.2606,0.2759,0.3843,0.4612,0.5201,0.6791,0.2160,0.5814,0.3636
RandomForestRegressor,0.6376,0.6071,0.7985,0.0143,0.2657,0.3357,0.3200,0.4941,0.5657,0.4560,0.6792,0.4187
GradientBoostingRegressor,0.8067,0.6449,0.8982,-0.2470,0.1782,0.2606,0.3139,0.4470,0.5602,0.4664,0.6983,0.4628
AdaBoostRegressor,0.7124,0.6660,0.8440,-0.1012,0.1452,0.1895,0.2491,0.4436,0.4991,0.5766,0.7709,0.5655
SVR,0.7202,0.6786,0.8487,-0.1134,0.0478,-0.0587,0.3813,0.5052,0.6175,0.3518,0.6237,0.5785
LinearRegression,1.1792,0.8393,1.0859,-0.8229,0.1790,0.2027,0.5803,0.5368,0.7618,0.0134,0.7032,0.6116
KNeighborsRegressor,0.8570,0.7338,0.9258,-0.3249,0.1005,0.1947,0.3572,0.4786,0.5976,0.3928,0.6808,0.3917
MLPRegressor,2.3698,1.2343,1.5394,-2.6633,-0.0496,0.0337,1.3381,0.9074,1.1568,-1.2749,0.3086,0.1625
