,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
ExtraTreesRegressor,0.7296,0.5823,0.8542,-0.1279,0.2558,0.3734,0.4163,0.5215,0.6452,0.2923,0.5979,0.2865
LGBMRegressor,0.6446,0.6796,0.8028,0.0036,0.1308,0.1395,0.5276,0.5751,0.7263,0.1031,0.4182,0.3245
XGBRegressor,0.8507,0.6431,0.9224,-0.3151,0.2721,0.3560,0.3258,0.4432,0.5708,0.4462,0.7110,0.4628
DecisionTreeRegressor,1.0375,0.6894,1.0186,-0.6039,0.0966,0.2015,0.3747,0.4881,0.6121,0.3630,0.6606,0.4077
RandomForestRegressor,0.6361,0.6084,0.7976,0.0166,0.2675,0.3387,0.3256,0.5001,0.5706,0.4465,0.6707,0.4353
GradientBoostingRegressor,0.7810,0.6339,0.8837,-0.2073,0.1955,0.2986,0.3042,0.4338,0.5515,0.4829,0.7093,0.4628
AdaBoostRegressor,0.7158,0.6462,0.8461,-0.1066,0.1428,0.2387,0.2580,0.4479,0.5079,0.5614,0.7532,0.5620
SVR,0.7202,0.6786,0.8487,-0.1133,0.0479,-0.0587,0.3813,0.5052,0.6175,0.3518,0.6237,0.5785
LinearRegression,1.1792,0.8393,1.0859,-0.8229,0.1790,0.2027,0.5803,0.5368,0.7618,0.0134,0.7032,0.6116
KNeighborsRegressor,0.8570,0.7338,0.9258,-0.3249,0.1005,0.1947,0.3572,0.4786,0.5976,0.3928,0.6808,0.3917
MLPRegressor,2.4154,1.2616,1.5542,-2.7339,-0.0864,-0.0235,1.3398,0.8793,1.1575,-1.2776,0.4214,0.2066
