,Train MSE (20 fold CV),Train MAE (20 fold CV),Train RMSE (20 fold CV),Train R2 (20 fold CV),Train PCC (20 fold CV),Train SCC (20 fold CV),Test MSE,Test MAE,Test RMSE,Test R2,Test PCC,Test SCC
LGBMRegressor,0.6350438325499834,0.6885362038192075,0.7968963750388023,0.01831818045443301,0.23701096606483754,0.24548066704624522,0.42531588660588954,0.5528179337392333,0.6521624694858557,0.2769506741903335,0.5339661260895343,0.4545454545454546
DecisionTreeRegressor,0.913954065628112,0.6701139619215685,0.9560094485035763,-0.41283490074089535,0.28806191907697487,0.4477342122086934,0.6229655498769139,0.6583566263192308,0.7892816670092584,-0.05905947796992872,0.28041876914619296,0.17881722556123708
RandomForestRegressor,0.5367017018526589,0.5792317583639216,0.7325992778133615,0.17034025649489104,0.44447796308985316,0.4970248196932641,0.32526788530165496,0.48870250319727077,0.5703226151062704,0.4470351741344034,0.6723671601393486,0.5144434027684821
GradientBoostingRegressor,0.6303707965072511,0.5669014478906866,0.7939589388043006,0.025541988150999062,0.39983729558081477,0.5046268016405027,0.44634396506022106,0.5445811308911741,0.6680897881723841,0.24120233177403916,0.5170323937926872,0.16231102012481516
AdaBoostRegressor,0.6150799003168019,0.6084439564267332,0.7842702979947678,0.049179403436881985,0.35179085846448893,0.36399837096701204,0.312540815114832,0.485675349410228,0.5590534993315327,0.4686715620707932,0.7094405922413867,0.4539206495016019
XGBRegressor,0.8502708348513618,0.72065119314355,0.9221013148517693,-0.31439024753888223,0.25631817760893055,0.2441684201624957,0.398828021663423,0.551599312855525,0.6315283221387803,0.3219808117702513,0.5754483506882769,0.3438792799254559
ExtraTreesRegressor,0.5200164340557313,0.5658227521823531,0.7211216499701915,0.1961331596158008,0.4637333608152097,0.5020475577655467,0.39355556971428307,0.5202774286933858,0.6273400750105823,0.3309441327917443,0.6005024336294325,0.45942271798040907
LinearRegression,2.311653197867771,1.1963073921795373,1.5204121802550028,-2.5734665878556466,0.41274732061020425,0.37175629665111803,0.5452056181534931,0.5723657623970049,0.7383804020648795,0.07313465814924291,0.6727596665031017,0.5969744299505915
KNeighborsRegressor,0.4843357086980471,0.5104795448862746,0.695942317076672,0.25129017019755473,0.5096404271716993,0.5129527818684306,0.39643907269626444,0.5303273807061535,0.6296340784108373,0.32604209420642394,0.6897362414109373,0.4539206495016019
SVR,0.6305631196420932,0.6494740187666241,0.794080046117577,0.02524468564166782,0.2506120620275637,0.23222244853112084,0.4227428373336662,0.5170939600716775,0.6501867711155512,0.28132493247728085,0.6520705087504116,0.37689169079829965
MLPRegressor,1.0059656587167762,0.8103640885703769,1.0029783939431478,-0.5550709220874326,0.21037697643605863,0.1959320347115653,0.7639885400224448,0.7507636979242716,0.8740643797927271,-0.2988026457177977,0.7427499462639086,0.3493813484042632
