,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.5526,0.6389,0.7433,0.1458,0.3998,0.4182,0.3231,0.4931,0.5684,0.4508,0.6960,0.5144
DecisionTreeRegressor,1.2053,0.8487,1.0979,-0.8633,0.0399,0.1193,0.3200,0.4698,0.5657,0.4559,0.6866,0.4594
RandomForestRegressor,0.5443,0.6022,0.7378,0.1586,0.4067,0.4906,0.2825,0.4658,0.5315,0.5198,0.7297,0.4484
GradientBoostingRegressor,0.8542,0.7402,0.9242,-0.3205,0.0574,0.0700,0.2726,0.4546,0.5221,0.5366,0.7334,0.4759
AdaBoostRegressor,0.6229,0.6480,0.7892,0.0372,0.3534,0.4479,0.2815,0.4554,0.5306,0.5214,0.7231,0.4869
XGBRegressor,0.8576,0.7419,0.9261,-0.3257,0.0576,0.1326,0.2960,0.4535,0.5441,0.4967,0.7058,0.5254
ExtraTreesRegressor,0.5611,0.6166,0.7491,0.1326,0.3999,0.4525,0.2997,0.4506,0.5474,0.4906,0.7112,0.4374
LinearRegression,0.8666,0.7256,0.9309,-0.3396,0.2907,0.3326,0.4622,0.5608,0.6798,0.2143,0.6094,0.4429
KNeighborsRegressor,0.5994,0.6068,0.7742,0.0734,0.3704,0.4051,0.4011,0.5517,0.6334,0.3181,0.5700,0.3719
SVR,0.6102,0.6502,0.7811,0.0568,0.3115,0.3492,0.3451,0.5191,0.5875,0.4133,0.6583,0.3879
MLPRegressor,2.1797,1.2298,1.4764,-2.3695,0.0983,0.1676,1.3170,0.9531,1.1476,-1.2390,0.3969,0.1788
