,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.5343,0.6108,0.7310,0.1740,0.4316,0.4124,0.3341,0.5151,0.5780,0.4320,0.6717,0.5309
DecisionTreeRegressor,0.9811,0.7506,0.9905,-0.5167,0.0660,0.1567,0.3797,0.5113,0.6162,0.3546,0.6236,0.3604
RandomForestRegressor,0.5141,0.5784,0.7170,0.2052,0.4577,0.5535,0.2564,0.4393,0.5064,0.5641,0.7657,0.4759
GradientBoostingRegressor,0.7813,0.6788,0.8839,-0.2078,0.1591,0.2341,0.2918,0.4717,0.5402,0.5039,0.7107,0.4319
AdaBoostRegressor,0.4874,0.5529,0.6981,0.2465,0.5159,0.5641,0.2372,0.4097,0.4870,0.5968,0.7733,0.5585
XGBRegressor,0.7918,0.6920,0.8898,-0.2241,0.2173,0.2622,0.3670,0.4801,0.6058,0.3761,0.6277,0.3659
ExtraTreesRegressor,0.4825,0.5505,0.6946,0.2542,0.5098,0.5914,0.2710,0.4449,0.5206,0.5392,0.7368,0.4264
LinearRegression,0.8101,0.7095,0.9001,-0.2523,0.3440,0.4077,0.4937,0.5304,0.7026,0.1608,0.5924,0.4732
KNeighborsRegressor,0.6334,0.6093,0.7958,0.0209,0.3372,0.4474,0.3795,0.5175,0.6161,0.3548,0.6001,0.4319
SVR,0.5729,0.6234,0.7569,0.1144,0.3720,0.4202,0.3650,0.5226,0.6042,0.3794,0.6278,0.4759
MLPRegressor,1.8058,1.1222,1.3438,-1.7915,0.2068,0.2203,0.9894,0.7104,0.9947,-0.6819,0.4160,0.4429
