,Train MSE (10 fold CV),Train MAE (10 fold CV),Train RMSE (10 fold CV),Train R2 (10 fold CV),Train PCC (10 fold CV),Train SCC (10 fold CV),Test MSE,Test MAE,Test RMSE,Test R2,Test PCC,Test SCC
LGBMRegressor,0.12578085413081758,0.2574812397406265,0.35465596587512466,0.7980424910125006,0.8933487979721588,0.876897479282374,0.19106837051484787,0.3063639853103812,0.4371136814546622,0.6980723772510793,0.8356142579796135,0.8203646223143521
DecisionTreeRegressor,0.25235876746659164,0.36884812652484433,0.502353229776212,0.5948051998780206,0.7993209403449117,0.7755578504149342,0.20869191535551243,0.32213469060820166,0.45682810263326884,0.6702235240692944,0.8202477932062819,0.7997781349003389
RandomForestRegressor,0.1278538594193982,0.2595875807845791,0.3575665804006272,0.7947140115941287,0.8914935554327645,0.8747561366415166,0.1949170912678976,0.30933281776882227,0.441494157682633,0.691990600845798,0.8321404755920402,0.8157628466048427
GradientBoostingRegressor,0.12508676468269794,0.2570191314450284,0.3536760730989558,0.7991569418319469,0.8939637496744253,0.8763214187634705,0.19234913254676558,0.30766005465362983,0.43857625625056995,0.6960485078133383,0.8344731498835523,0.8203314811578648
AdaBoostRegressor,0.17386593972400044,0.3197902135825191,0.4169723488722009,0.720835636495915,0.8595062795982267,0.8512271875731741,0.21456124055551612,0.3473946664592663,0.4632075566692712,0.6609487738843091,0.8214398667468734,0.8122577636032308
XGBRegressor,0.14122439625301042,0.2760662587548162,0.37579834519727523,0.773245876945166,0.8798632178174207,0.8598059872199456,0.19599575452542875,0.3098063526259078,0.44271407762282505,0.6902860893548829,0.8312308642947395,0.8156610629013209
ExtraTreesRegressor,0.12793211691475626,0.25920824186113084,0.3576759943227337,0.7945883590142402,0.8914260775264764,0.8740964832779076,0.19310928979067488,0.3082561278310904,0.43944202096599144,0.6948473018316759,0.8338035582566137,0.8179898108610455
LinearRegression,0.12503568055018968,0.25556851879427117,0.3536038469109035,0.7992389640460704,0.8940038394290823,0.8771307096734134,0.19268111837740776,0.3084535464912454,0.4389545743894324,0.695523901399613,0.8341741941839205,0.8197473577082262
KNeighborsRegressor,0.1497061029691016,0.28351393741946834,0.38691872915264985,0.7596273944489127,0.8717108399391104,0.8523149791512352,0.20729335358845863,0.32313239958814655,0.4552947985519477,0.672433541501569,0.8210856168800884,0.8036818096339741
SVR,0.1326097454795711,0.25985408780644953,0.36415621027187095,0.7870778184041703,0.8874624585341194,0.8766491973592455,0.19482194627790114,0.3067697177760401,0.4413863911335522,0.6921409496480027,0.8331685446039179,0.8188604591621987
MLPRegressor,0.13884953399292316,0.27648185938691483,0.3726251923755601,0.7770590269635052,0.8829551332053118,0.8641672545704047,0.1929563783224669,0.31515270385340005,0.4392680028438981,0.6950889336410784,0.8346042042119258,0.820175527746891
