,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.3003,0.4043,0.5480,0.5179,0.7206,0.6835,0.3087,0.4052,0.5556,0.5122,0.7164,0.7008
DecisionTreeRegressor,0.3624,0.4142,0.6020,0.4182,0.6748,0.6618,0.3083,0.3918,0.5552,0.5129,0.7221,0.7129
RandomForestRegressor,0.2833,0.3848,0.5322,0.5452,0.7389,0.7051,0.2869,0.3865,0.5356,0.5467,0.7402,0.7210
GradientBoostingRegressor,0.3314,0.4333,0.5757,0.4679,0.6893,0.6365,0.3404,0.4361,0.5835,0.4621,0.6840,0.6628
AdaBoostRegressor,0.5505,0.5909,0.7419,0.1162,0.4503,0.4349,0.5310,0.5820,0.7287,0.1609,0.4880,0.4821
XGBRegressor,0.2836,0.3826,0.5325,0.5447,0.7396,0.7046,0.2851,0.3833,0.5340,0.5494,0.7426,0.7237
ExtraTreesRegressor,0.2832,0.3823,0.5321,0.5454,0.7409,0.7073,0.2921,0.3876,0.5404,0.5385,0.7362,0.7184
LinearRegression,0.4846,0.5260,0.6961,0.2219,0.4713,0.4781,0.4895,0.5267,0.6996,0.2266,0.4767,0.4913
KNeighborsRegressor,0.3321,0.4138,0.5763,0.4668,0.6943,0.6584,0.3343,0.4108,0.5782,0.4717,0.6967,0.6821
SVR,0.3514,0.4253,0.5928,0.4358,0.6648,0.6406,0.3723,0.4307,0.6102,0.4116,0.6501,0.6446
MLPRegressor,0.3211,0.4155,0.5666,0.4845,0.6968,0.6632,0.3455,0.4205,0.5878,0.4541,0.6757,0.6680
