,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2456,0.3656,0.4955,0.6057,0.7796,0.7363,0.2505,0.3642,0.5005,0.6041,0.7787,0.7532
DecisionTreeRegressor,0.3888,0.4412,0.6236,0.3757,0.6735,0.6330,0.3006,0.3893,0.5483,0.5250,0.7386,0.6946
RandomForestRegressor,0.2656,0.3767,0.5154,0.5736,0.7586,0.7128,0.2560,0.3627,0.5060,0.5954,0.7723,0.7375
GradientBoostingRegressor,0.2882,0.4041,0.5368,0.5373,0.7403,0.6940,0.2856,0.4018,0.5344,0.5487,0.7499,0.7183
AdaBoostRegressor,0.4671,0.5466,0.6835,0.2500,0.5584,0.4851,0.4629,0.5435,0.6804,0.2685,0.5741,0.5379
XGBRegressor,0.2257,0.3464,0.4750,0.6377,0.7987,0.7547,0.2227,0.3395,0.4719,0.6481,0.8053,0.7721
ExtraTreesRegressor,0.2778,0.3821,0.5270,0.5540,0.7503,0.7068,0.2587,0.3665,0.5086,0.5912,0.7722,0.7291
LinearRegression,0.3899,0.4426,0.6244,0.3739,0.6337,0.6568,0.3727,0.4380,0.6105,0.4111,0.6514,0.6831
KNeighborsRegressor,0.3468,0.4336,0.5889,0.4432,0.6770,0.6370,0.3334,0.4209,0.5774,0.4732,0.6940,0.6643
SVR,0.3020,0.3921,0.5496,0.5150,0.7215,0.6982,0.2987,0.3896,0.5466,0.5279,0.7299,0.7095
MLPRegressor,0.3771,0.4172,0.6141,0.3946,0.6690,0.6870,0.2866,0.3833,0.5354,0.5471,0.7445,0.7369
