,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2456,0.3656,0.4955,0.6057,0.7796,0.7363,0.2505,0.3642,0.5005,0.6041,0.7787,0.7532
DecisionTreeRegressor,0.3923,0.4434,0.6264,0.3701,0.6697,0.6279,0.3009,0.3918,0.5485,0.5246,0.7384,0.6909
RandomForestRegressor,0.2654,0.3765,0.5152,0.5739,0.7588,0.7128,0.2559,0.3624,0.5058,0.5957,0.7725,0.7380
GradientBoostingRegressor,0.2882,0.4041,0.5368,0.5373,0.7403,0.6942,0.2852,0.4014,0.5340,0.5493,0.7505,0.7188
AdaBoostRegressor,0.4798,0.5561,0.6927,0.2297,0.5549,0.4856,0.4681,0.5487,0.6842,0.2603,0.5825,0.5489
XGBRegressor,0.2257,0.3464,0.4750,0.6377,0.7987,0.7547,0.2227,0.3395,0.4719,0.6481,0.8053,0.7721
ExtraTreesRegressor,0.2768,0.3816,0.5261,0.5556,0.7514,0.7075,0.2587,0.3666,0.5086,0.5912,0.7722,0.7293
LinearRegression,0.3899,0.4426,0.6244,0.3739,0.6337,0.6568,0.3727,0.4380,0.6105,0.4111,0.6514,0.6831
KNeighborsRegressor,0.3464,0.4335,0.5885,0.4438,0.6772,0.6366,0.3328,0.4204,0.5769,0.4742,0.6945,0.6645
SVR,0.3020,0.3921,0.5496,0.5150,0.7215,0.6982,0.2987,0.3896,0.5466,0.5279,0.7299,0.7095
MLPRegressor,0.3750,0.4174,0.6124,0.3979,0.6716,0.6850,0.3067,0.3942,0.5538,0.5153,0.7302,0.7352
