,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2232,0.3432,0.4724,0.6416,0.8010,0.7597,0.2254,0.3406,0.4747,0.6439,0.8025,0.7748
DecisionTreeRegressor,0.3330,0.4137,0.5771,0.4653,0.7030,0.6588,0.2647,0.3705,0.5145,0.5817,0.7645,0.7218
RandomForestRegressor,0.2468,0.3646,0.4968,0.6038,0.7771,0.7338,0.2451,0.3582,0.4950,0.6128,0.7829,0.7518
GradientBoostingRegressor,0.2255,0.3469,0.4748,0.6380,0.7988,0.7580,0.2251,0.3430,0.4745,0.6443,0.8029,0.7693
AdaBoostRegressor,0.4333,0.5004,0.6583,0.3043,0.5528,0.4393,0.4337,0.5046,0.6585,0.3147,0.5624,0.5842
XGBRegressor,0.2257,0.3464,0.4750,0.6377,0.7987,0.7547,0.2227,0.3395,0.4719,0.6481,0.8053,0.7721
ExtraTreesRegressor,0.2336,0.3557,0.4833,0.6249,0.7911,0.7463,0.2343,0.3531,0.4840,0.6298,0.7940,0.7565
LinearRegression,0.4313,0.4481,0.6567,0.3075,0.6039,0.6568,0.3727,0.4380,0.6105,0.4111,0.6514,0.6831
KNeighborsRegressor,0.3311,0.4255,0.5754,0.4683,0.6869,0.6499,0.3329,0.4205,0.5770,0.4739,0.6905,0.6629
SVR,0.2854,0.3848,0.5342,0.5417,0.7371,0.7031,0.2889,0.3851,0.5375,0.5434,0.7380,0.7127
MLPRegressor,1.3931,0.5018,1.1803,-1.2369,0.4042,0.7036,0.3024,0.3924,0.5499,0.5221,0.7304,0.7265
