,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2812,0.3844,0.5302,0.5486,0.7417,0.7018,0.2829,0.3850,0.5318,0.5530,0.7446,0.7240
DecisionTreeRegressor,0.3442,0.4087,0.5867,0.4474,0.6846,0.6681,0.3050,0.3995,0.5523,0.5180,0.7228,0.7073
RandomForestRegressor,0.2821,0.3850,0.5312,0.5470,0.7397,0.7051,0.2857,0.3866,0.5345,0.5486,0.7411,0.7221
GradientBoostingRegressor,0.2775,0.3851,0.5268,0.5545,0.7446,0.7025,0.2838,0.3874,0.5327,0.5515,0.7429,0.7227
AdaBoostRegressor,0.4726,0.5305,0.6875,0.2411,0.4954,0.4349,0.4857,0.5395,0.6970,0.2324,0.4855,0.5137
XGBRegressor,0.2836,0.3826,0.5325,0.5447,0.7396,0.7046,0.2851,0.3833,0.5340,0.5494,0.7426,0.7237
ExtraTreesRegressor,0.2702,0.3792,0.5198,0.5662,0.7525,0.7164,0.2846,0.3877,0.5335,0.5502,0.7420,0.7238
LinearRegression,0.4848,0.5261,0.6963,0.2216,0.4710,0.4781,0.4895,0.5267,0.6996,0.2266,0.4767,0.4913
KNeighborsRegressor,0.3112,0.4016,0.5579,0.5003,0.7128,0.6767,0.3265,0.4051,0.5714,0.4840,0.7018,0.6883
SVR,0.3031,0.3917,0.5506,0.5133,0.7185,0.6920,0.3010,0.3948,0.5486,0.5244,0.7266,0.7135
MLPRegressor,0.3406,0.4260,0.5836,0.4531,0.6750,0.6584,0.3484,0.4311,0.5902,0.4495,0.6708,0.6610
