,Feature,Importance
0,AcidicGroupCount,0
1,BasicGroupCount,1
2,AdjacencyMatrix,0
3,AdjacencyMatrix.1,6
4,AdjacencyMatrix.2,3
5,AdjacencyMatrix.3,0
6,AdjacencyMatrix.4,0
7,AdjacencyMatrix.5,0
8,AdjacencyMatrix.6,3
9,AdjacencyMatrix.7,2
10,AdjacencyMatrix.8,1
11,AdjacencyMatrix.9,9
12,AdjacencyMatrix.10,12
13,AdjacencyMatrix.11,2
14,AromaticAtomsCount,0
15,AromaticBondsCount,0
16,AtomCount,0
17,AtomCount.1,0
18,AtomCount.2,0
19,AtomCount.3,0
20,AtomCount.4,0
21,AtomCount.5,0
22,AtomCount.6,0
23,AtomCount.7,0
24,AtomCount.8,2
25,AtomCount.9,0
26,AtomCount.10,0
27,AtomCount.11,0
28,AtomCount.12,0
29,AtomCount.13,0
30,AtomCount.14,0
31,AtomCount.15,0
32,AtomCount.16,0
33,ATS,0
34,ATS.1,0
35,ATS.2,0
36,ATS.3,0
37,ATS.4,1
38,ATS.5,0
39,ATS.6,0
40,ATS.7,2
41,ATS.8,2
42,ATS.9,1
43,ATS.10,0
44,ATS.11,0
45,ATS.12,0
46,ATS.13,0
47,ATS.14,0
48,ATS.15,2
49,ATS.16,1
50,ATS.17,2
51,ATS.18,1
52,ATS.19,0
53,ATS.20,0
54,ATS.21,0
55,ATS.22,2
56,ATS.23,1
57,ATS.24,1
58,ATS.25,0
59,ATS.26,0
60,ATS.27,1
61,ATS.28,0
62,ATS.29,0
63,ATS.30,0
64,ATS.31,0
65,ATS.32,0
66,ATS.33,0
67,ATS.34,0
68,ATS.35,0
69,ATS.36,0
70,ATS.37,0
71,ATS.38,0
72,ATS.39,0
73,ATS.40,0
74,ATS.41,0
75,ATS.42,0
76,ATS.43,1
77,ATS.44,1
78,ATS.45,0
79,ATS.46,0
80,ATS.47,0
81,ATS.48,0
82,ATS.49,0
83,ATS.50,0
84,ATS.51,0
85,ATS.52,1
86,ATS.53,2
87,ATS.54,0
88,ATS.55,0
89,ATS.56,0
90,ATS.57,0
91,ATS.58,0
92,ATS.59,0
93,ATS.60,0
94,ATS.61,3
95,ATS.62,4
96,ATS.63,0
97,ATS.64,0
98,ATS.65,0
99,ATS.66,0
100,ATS.67,0
101,ATS.68,0
102,ATS.69,0
103,ATS.70,0
104,ATS.71,0
105,ATS.72,0
106,ATS.73,0
107,ATS.74,0
108,ATS.75,0
109,ATS.76,0
110,ATS.77,0
111,ATS.78,0
112,ATS.79,0
113,ATS.80,1
114,ATS.81,0
115,ATS.82,0
116,ATS.83,0
117,ATS.84,0
118,ATS.85,0
119,ATS.86,0
120,ATS.87,0
121,ATS.88,5
122,ATS.89,5
123,ATS.90,0
124,ATS.91,0
125,ATS.92,0
126,ATS.93,0
127,ATS.94,0
128,ATS.95,0
129,ATS.96,0
130,ATS.97,5
131,ATS.98,1
132,AATS,0
133,AATS.1,1
134,AATS.2,2
135,AATS.3,3
136,AATS.4,2
137,AATS.5,2
138,AATS.6,1
139,AATS.7,6
140,AATS.8,4
141,AATS.9,2
142,AATS.10,1
143,AATS.11,2
144,AATS.12,2
145,AATS.13,0
146,AATS.14,2
147,AATS.15,4
148,AATS.16,1
149,AATS.17,5
150,AATS.18,1
151,AATS.19,1
152,AATS.20,0
153,AATS.21,3
154,AATS.22,5
155,AATS.23,3
156,AATS.24,7
157,AATS.25,2
158,AATS.26,9
159,AATS.27,0
160,AATS.28,1
161,AATS.29,2
162,AATS.30,3
163,AATS.31,2
164,AATS.32,1
165,AATS.33,3
166,AATS.34,1
167,AATS.35,2
168,AATS.36,0
169,AATS.37,1
170,AATS.38,1
171,AATS.39,2
172,AATS.40,0
173,AATS.41,0
174,AATS.42,0
175,AATS.43,0
176,AATS.44,4
177,AATS.45,0
178,AATS.46,0
179,AATS.47,0
180,AATS.48,1
181,AATS.49,2
182,AATS.50,1
183,AATS.51,1
184,AATS.52,4
185,AATS.53,2
186,AATS.54,8
187,AATS.55,6
188,AATS.56,1
189,AATS.57,1
190,AATS.58,2
191,AATS.59,4
192,AATS.60,4
193,AATS.61,3
194,AATS.62,4
195,AATS.63,2
196,AATS.64,2
197,AATS.65,4
198,AATS.66,3
199,AATS.67,2
200,AATS.68,6
201,AATS.69,11
202,AATS.70,2
203,AATS.71,7
204,AATS.72,1
205,AATS.73,1
206,AATS.74,2
207,AATS.75,3
208,AATS.76,1
209,AATS.77,3
210,AATS.78,4
211,AATS.79,3
212,AATS.80,2
213,AATS.81,0
214,AATS.82,1
215,AATS.83,3
216,AATS.84,0
217,AATS.85,0
218,AATS.86,4
219,AATS.87,3
220,AATS.88,2
221,AATS.89,6
222,AATS.90,4
223,AATS.91,4
224,AATS.92,3
225,AATS.93,9
226,AATS.94,2
227,AATS.95,3
228,AATS.96,4
229,AATS.97,4
230,AATS.98,8
231,ATSC,10
232,ATSC.1,5
233,ATSC.2,7
234,ATSC.3,1
235,ATSC.4,2
236,ATSC.5,6
237,ATSC.6,7
238,ATSC.7,5
239,ATSC.8,6
240,ATSC.9,0
241,ATSC.10,0
242,ATSC.11,3
243,ATSC.12,2
244,ATSC.13,3
245,ATSC.14,0
246,ATSC.15,3
247,ATSC.16,13
248,ATSC.17,9
249,ATSC.18,0
250,ATSC.19,0
251,ATSC.20,4
252,ATSC.21,5
253,ATSC.22,10
254,ATSC.23,2
255,ATSC.24,3
256,ATSC.25,4
257,ATSC.26,13
258,ATSC.27,0
259,ATSC.28,1
260,ATSC.29,3
261,ATSC.30,2
262,ATSC.31,2
263,ATSC.32,4
264,ATSC.33,7
265,ATSC.34,2
266,ATSC.35,6
267,ATSC.36,0
268,ATSC.37,8
269,ATSC.38,1
270,ATSC.39,3
271,ATSC.40,1
272,ATSC.41,3
273,ATSC.42,1
274,ATSC.43,2
275,ATSC.44,2
276,ATSC.45,0
277,ATSC.46,9
278,ATSC.47,0
279,ATSC.48,4
280,ATSC.49,2
281,ATSC.50,0
282,ATSC.51,0
283,ATSC.52,3
284,ATSC.53,1
285,ATSC.54,0
286,ATSC.55,1
287,ATSC.56,2
288,ATSC.57,7
289,ATSC.58,1
290,ATSC.59,1
291,ATSC.60,9
292,ATSC.61,4
293,ATSC.62,4
294,ATSC.63,0
295,ATSC.64,3
296,ATSC.65,2
297,ATSC.66,2
298,ATSC.67,0
299,ATSC.68,4
300,ATSC.69,4
301,ATSC.70,3
302,ATSC.71,6
