,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2131,0.3419,0.4616,0.6579,0.8123,0.7798,0.2083,0.3305,0.4564,0.6709,0.8209,0.7995
DecisionTreeRegressor,0.4571,0.4815,0.6761,0.2660,0.6371,0.6157,0.2700,0.3741,0.5197,0.5733,0.7618,0.7366
RandomForestRegressor,0.2188,0.3463,0.4678,0.6486,0.8066,0.7717,0.2189,0.3398,0.4679,0.6541,0.8101,0.7924
GradientBoostingRegressor,0.2236,0.3519,0.4728,0.6411,0.8032,0.7653,0.2189,0.3414,0.4679,0.6541,0.8125,0.7820
AdaBoostRegressor,0.3726,0.4944,0.6104,0.4017,0.6720,0.6126,0.3538,0.4770,0.5948,0.4410,0.7073,0.6668
XGBRegressor,0.2372,0.3599,0.4870,0.6192,0.7877,0.7514,0.2133,0.3328,0.4618,0.6630,0.8146,0.7959
ExtraTreesRegressor,0.2133,0.3419,0.4619,0.6574,0.8109,0.7766,0.2174,0.3370,0.4662,0.6565,0.8104,0.7945
LinearRegression,1.3033,0.6919,1.1416,-1.0926,0.3979,0.5148,0.6131,0.5063,0.7830,0.0311,0.5693,0.6313
KNeighborsRegressor,0.2709,0.3803,0.5205,0.5650,0.7576,0.7213,0.2731,0.3728,0.5226,0.5684,0.7589,0.7530
SVR,0.2286,0.3423,0.4781,0.6329,0.7985,0.7689,0.2376,0.3481,0.4875,0.6245,0.7942,0.7743
MLPRegressor,0.4732,0.5112,0.6879,0.2403,0.6372,0.6104,0.3015,0.4150,0.5491,0.5236,0.7366,0.7234
