,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2166,0.3434,0.4654,0.6522,0.8086,0.7742,0.2082,0.3306,0.4563,0.6710,0.8210,0.8011
DecisionTreeRegressor,0.4448,0.4792,0.6669,0.2859,0.6417,0.6147,0.2620,0.3697,0.5119,0.5859,0.7698,0.7434
RandomForestRegressor,0.2188,0.3475,0.4677,0.6487,0.8066,0.7727,0.2166,0.3379,0.4654,0.6577,0.8124,0.7959
GradientBoostingRegressor,0.2244,0.3530,0.4737,0.6396,0.8022,0.7646,0.2227,0.3453,0.4719,0.6481,0.8087,0.7790
AdaBoostRegressor,0.3749,0.4956,0.6123,0.3980,0.6671,0.6113,0.3566,0.4794,0.5972,0.4365,0.7021,0.6654
XGBRegressor,0.2376,0.3621,0.4875,0.6184,0.7872,0.7528,0.2163,0.3329,0.4651,0.6582,0.8115,0.7924
ExtraTreesRegressor,0.2116,0.3413,0.4600,0.6603,0.8127,0.7793,0.2136,0.3352,0.4622,0.6625,0.8141,0.7974
LinearRegression,0.6802,0.4999,0.8248,-0.0922,0.5673,0.6552,0.4036,0.4249,0.6353,0.3622,0.6701,0.7123
KNeighborsRegressor,0.2760,0.3834,0.5253,0.5569,0.7527,0.7172,0.2816,0.3778,0.5307,0.5550,0.7503,0.7455
SVR,0.2363,0.3484,0.4861,0.6206,0.7910,0.7617,0.2411,0.3496,0.4910,0.6190,0.7912,0.7713
MLPRegressor,0.3508,0.4396,0.5923,0.4367,0.7045,0.6571,0.2420,0.3586,0.4920,0.6175,0.7878,0.7768
