,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2131,0.3419,0.4616,0.6579,0.8123,0.7798,0.2083,0.3305,0.4564,0.6709,0.8209,0.7995
DecisionTreeRegressor,0.4538,0.4819,0.6736,0.2714,0.6400,0.6124,0.2672,0.3702,0.5169,0.5778,0.7641,0.7358
RandomForestRegressor,0.2184,0.3465,0.4673,0.6494,0.8071,0.7718,0.2192,0.3398,0.4682,0.6536,0.8098,0.7923
GradientBoostingRegressor,0.2234,0.3517,0.4727,0.6412,0.8033,0.7657,0.2185,0.3412,0.4675,0.6547,0.8130,0.7824
AdaBoostRegressor,0.3780,0.4954,0.6148,0.3931,0.6622,0.6089,0.3585,0.4802,0.5988,0.4334,0.7001,0.6608
XGBRegressor,0.2372,0.3599,0.4870,0.6192,0.7877,0.7514,0.2133,0.3328,0.4618,0.6630,0.8146,0.7959
ExtraTreesRegressor,0.2142,0.3421,0.4628,0.6561,0.8101,0.7758,0.2173,0.3375,0.4662,0.6566,0.8104,0.7930
LinearRegression,1.2982,0.6911,1.1394,-1.0844,0.3995,0.5157,0.6131,0.5063,0.7830,0.0311,0.5693,0.6313
KNeighborsRegressor,0.2709,0.3803,0.5205,0.5650,0.7576,0.7213,0.2731,0.3728,0.5226,0.5684,0.7589,0.7530
SVR,0.2286,0.3423,0.4782,0.6329,0.7985,0.7689,0.2376,0.3481,0.4875,0.6245,0.7942,0.7743
MLPRegressor,0.4726,0.5130,0.6875,0.2412,0.6452,0.6142,0.2820,0.3959,0.5311,0.5543,0.7547,0.7107
