,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2042,0.3325,0.4519,0.6721,0.8203,0.7881,0.2058,0.3277,0.4537,0.6748,0.8222,0.8044
DecisionTreeRegressor,0.3083,0.3879,0.5552,0.5051,0.7304,0.7092,0.2366,0.3490,0.4864,0.6261,0.7930,0.7722
RandomForestRegressor,0.2154,0.3432,0.4641,0.6542,0.8090,0.7760,0.2199,0.3399,0.4690,0.6525,0.8081,0.7891
GradientBoostingRegressor,0.2208,0.3494,0.4699,0.6455,0.8059,0.7670,0.2183,0.3406,0.4672,0.6551,0.8129,0.7837
AdaBoostRegressor,0.3743,0.4920,0.6118,0.3991,0.6667,0.6325,0.3568,0.4753,0.5973,0.4362,0.6965,0.6861
XGBRegressor,0.2166,0.3429,0.4654,0.6522,0.8080,0.7748,0.2151,0.3318,0.4638,0.6601,0.8127,0.7923
ExtraTreesRegressor,0.2088,0.3380,0.4570,0.6647,0.8153,0.7837,0.2190,0.3374,0.4680,0.6539,0.8088,0.7883
LinearRegression,1.1424,0.6212,1.0688,-0.8343,0.4362,0.5777,0.5253,0.4695,0.7248,0.1699,0.6108,0.6739
KNeighborsRegressor,0.2722,0.3808,0.5217,0.5629,0.7565,0.7221,0.2710,0.3766,0.5206,0.5718,0.7598,0.7473
SVR,0.2240,0.3392,0.4733,0.6403,0.8032,0.7743,0.2344,0.3451,0.4841,0.6296,0.7973,0.7769
MLPRegressor,0.3608,0.4432,0.6007,0.4207,0.6998,0.6739,0.2381,0.3478,0.4880,0.6237,0.7917,0.7755
