,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2067,0.3347,0.4547,0.6681,0.8178,0.7866,0.2076,0.3288,0.4556,0.6719,0.8204,0.8032
DecisionTreeRegressor,0.3070,0.3866,0.5541,0.5071,0.7309,0.7150,0.2354,0.3479,0.4852,0.6280,0.7941,0.7690
RandomForestRegressor,0.2159,0.3435,0.4646,0.6534,0.8084,0.7757,0.2188,0.3391,0.4678,0.6543,0.8092,0.7899
GradientBoostingRegressor,0.2226,0.3504,0.4718,0.6426,0.8041,0.7666,0.2208,0.3440,0.4699,0.6511,0.8106,0.7825
AdaBoostRegressor,0.3737,0.4935,0.6113,0.4000,0.6679,0.6207,0.3615,0.4806,0.6013,0.4287,0.6913,0.6732
XGBRegressor,0.2199,0.3433,0.4689,0.6469,0.8049,0.7748,0.2103,0.3272,0.4586,0.6677,0.8172,0.7992
ExtraTreesRegressor,0.2090,0.3379,0.4572,0.6644,0.8151,0.7844,0.2166,0.3356,0.4655,0.6577,0.8111,0.7911
LinearRegression,0.5944,0.4568,0.7710,0.0456,0.5986,0.6934,0.3824,0.3978,0.6184,0.3958,0.6862,0.7428
KNeighborsRegressor,0.2750,0.3821,0.5244,0.5584,0.7538,0.7194,0.2712,0.3761,0.5208,0.5715,0.7593,0.7486
SVR,0.2304,0.3441,0.4800,0.6300,0.7968,0.7676,0.2380,0.3465,0.4879,0.6239,0.7937,0.7737
MLPRegressor,0.5018,0.5282,0.7084,0.1943,0.6133,0.5565,0.3329,0.4329,0.5770,0.4739,0.7067,0.6724
