,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2110,0.3387,0.4593,0.6613,0.8137,0.7830,0.2066,0.3265,0.4546,0.6735,0.8218,0.8038
DecisionTreeRegressor,0.3083,0.3873,0.5553,0.5050,0.7313,0.7112,0.2354,0.3461,0.4852,0.6280,0.7936,0.7693
RandomForestRegressor,0.2195,0.3463,0.4685,0.6476,0.8049,0.7732,0.2235,0.3401,0.4727,0.6469,0.8046,0.7852
GradientBoostingRegressor,0.2310,0.3569,0.4807,0.6290,0.7958,0.7595,0.2274,0.3461,0.4769,0.6406,0.8044,0.7783
AdaBoostRegressor,0.3941,0.5047,0.6278,0.3672,0.6379,0.5985,0.3734,0.4897,0.6111,0.4100,0.6744,0.6613
XGBRegressor,0.2154,0.3412,0.4642,0.6541,0.8092,0.7758,0.2143,0.3310,0.4629,0.6614,0.8134,0.7966
ExtraTreesRegressor,0.2097,0.3382,0.4579,0.6633,0.8145,0.7849,0.2190,0.3361,0.4679,0.6540,0.8088,0.7900
LinearRegression,0.2933,0.3954,0.5416,0.5291,0.7326,0.7157,0.3058,0.3954,0.5530,0.5168,0.7244,0.7357
KNeighborsRegressor,0.2749,0.3811,0.5243,0.5586,0.7529,0.7222,0.2818,0.3790,0.5308,0.5547,0.7488,0.7464
SVR,0.2215,0.3379,0.4706,0.6444,0.8058,0.7798,0.2269,0.3383,0.4763,0.6415,0.8049,0.7905
MLPRegressor,0.2499,0.3619,0.4999,0.5988,0.7813,0.7639,0.2381,0.3484,0.4880,0.6237,0.7928,0.7874
