,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2069,0.3343,0.4549,0.6677,0.8177,0.7850,0.2100,0.3301,0.4583,0.6681,0.8182,0.8020
DecisionTreeRegressor,0.3020,0.3857,0.5495,0.5151,0.7359,0.7160,0.2516,0.3540,0.5015,0.6025,0.7788,0.7610
RandomForestRegressor,0.2173,0.3437,0.4661,0.6511,0.8070,0.7743,0.2220,0.3407,0.4712,0.6492,0.8060,0.7879
GradientBoostingRegressor,0.2231,0.3511,0.4723,0.6418,0.8039,0.7651,0.2233,0.3435,0.4725,0.6472,0.8081,0.7818
AdaBoostRegressor,0.3868,0.4982,0.6219,0.3790,0.6507,0.6217,0.3685,0.4830,0.6071,0.4176,0.6828,0.6764
XGBRegressor,0.2184,0.3439,0.4673,0.6494,0.8064,0.7744,0.2155,0.3329,0.4642,0.6594,0.8122,0.7939
ExtraTreesRegressor,0.2140,0.3421,0.4626,0.6563,0.8101,0.7800,0.2242,0.3405,0.4735,0.6457,0.8037,0.7854
LinearRegression,0.4615,0.4239,0.6793,0.2590,0.6589,0.7225,0.3912,0.3924,0.6255,0.3818,0.6884,0.7531
KNeighborsRegressor,0.2722,0.3806,0.5217,0.5630,0.7568,0.7192,0.2735,0.3779,0.5229,0.5679,0.7578,0.7414
SVR,0.2260,0.3406,0.4754,0.6372,0.8014,0.7715,0.2379,0.3456,0.4877,0.6241,0.7938,0.7750
MLPRegressor,0.2852,0.3947,0.5340,0.5421,0.7453,0.7081,0.2296,0.3476,0.4791,0.6372,0.7983,0.7788
