,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2066,0.3353,0.4545,0.6683,0.8179,0.7874,0.2083,0.3296,0.4564,0.6709,0.8201,0.8038
DecisionTreeRegressor,0.3137,0.3895,0.5601,0.4963,0.7260,0.7102,0.2439,0.3542,0.4938,0.6146,0.7855,0.7652
RandomForestRegressor,0.2178,0.3447,0.4667,0.6503,0.8065,0.7744,0.2230,0.3410,0.4722,0.6476,0.8050,0.7878
GradientBoostingRegressor,0.2251,0.3523,0.4744,0.6386,0.8019,0.7636,0.2265,0.3464,0.4759,0.6421,0.8050,0.7792
AdaBoostRegressor,0.3920,0.5019,0.6261,0.3705,0.6458,0.6139,0.3709,0.4861,0.6090,0.4140,0.6834,0.6747
XGBRegressor,0.2165,0.3416,0.4653,0.6524,0.8083,0.7773,0.2169,0.3336,0.4657,0.6572,0.8109,0.7901
ExtraTreesRegressor,0.2124,0.3409,0.4609,0.6589,0.8117,0.7804,0.2211,0.3386,0.4702,0.6506,0.8067,0.7885
LinearRegression,0.3265,0.3864,0.5714,0.4757,0.7259,0.7432,0.3369,0.3789,0.5804,0.4676,0.7173,0.7675
KNeighborsRegressor,0.2724,0.3809,0.5219,0.5627,0.7573,0.7237,0.2720,0.3765,0.5215,0.5702,0.7594,0.7437
SVR,0.2321,0.3444,0.4818,0.6273,0.7955,0.7665,0.2399,0.3469,0.4898,0.6209,0.7922,0.7731
MLPRegressor,0.2638,0.3817,0.5136,0.5765,0.7647,0.7388,0.2381,0.3539,0.4880,0.6237,0.7902,0.7856
