,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2069,0.3343,0.4549,0.6677,0.8177,0.7850,0.2100,0.3301,0.4583,0.6681,0.8182,0.8020
DecisionTreeRegressor,0.3118,0.3883,0.5584,0.4994,0.7279,0.7159,0.2447,0.3524,0.4947,0.6133,0.7849,0.7617
RandomForestRegressor,0.2165,0.3435,0.4653,0.6523,0.8078,0.7753,0.2223,0.3407,0.4715,0.6487,0.8057,0.7878
GradientBoostingRegressor,0.2230,0.3510,0.4722,0.6420,0.8040,0.7651,0.2233,0.3436,0.4726,0.6471,0.8079,0.7814
AdaBoostRegressor,0.3870,0.4977,0.6221,0.3786,0.6499,0.6160,0.3689,0.4835,0.6073,0.4171,0.6819,0.6788
XGBRegressor,0.2184,0.3439,0.4673,0.6494,0.8064,0.7744,0.2155,0.3329,0.4642,0.6594,0.8122,0.7939
ExtraTreesRegressor,0.2139,0.3416,0.4625,0.6566,0.8103,0.7794,0.2231,0.3401,0.4724,0.6474,0.8048,0.7862
LinearRegression,0.4615,0.4239,0.6793,0.2590,0.6589,0.7225,0.3912,0.3924,0.6255,0.3818,0.6884,0.7531
KNeighborsRegressor,0.2734,0.3813,0.5228,0.5611,0.7559,0.7182,0.2733,0.3777,0.5228,0.5681,0.7579,0.7422
SVR,0.2260,0.3406,0.4754,0.6372,0.8014,0.7715,0.2379,0.3456,0.4877,0.6241,0.7938,0.7750
MLPRegressor,0.3216,0.4148,0.5671,0.4836,0.7343,0.7029,0.2497,0.3632,0.4997,0.6054,0.7872,0.7641
