,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2086,0.3356,0.4568,0.6650,0.8160,0.7849,0.2074,0.3286,0.4554,0.6722,0.8211,0.8034
DecisionTreeRegressor,0.2915,0.3810,0.5399,0.5319,0.7450,0.7269,0.2351,0.3464,0.4848,0.6285,0.7937,0.7721
RandomForestRegressor,0.2170,0.3442,0.4658,0.6516,0.8075,0.7786,0.2150,0.3359,0.4637,0.6603,0.8131,0.7948
GradientBoostingRegressor,0.2301,0.3559,0.4797,0.6305,0.7971,0.7617,0.2240,0.3480,0.4732,0.6461,0.8081,0.7787
AdaBoostRegressor,0.3914,0.5039,0.6256,0.3716,0.6477,0.6129,0.3709,0.4856,0.6090,0.4139,0.6820,0.6686
XGBRegressor,0.2180,0.3432,0.4669,0.6500,0.8072,0.7747,0.2122,0.3298,0.4606,0.6647,0.8154,0.7930
ExtraTreesRegressor,0.2112,0.3394,0.4595,0.6609,0.8130,0.7840,0.2214,0.3374,0.4705,0.6502,0.8065,0.7898
LinearRegression,0.4254,0.4071,0.6522,0.3170,0.6722,0.7356,0.3181,0.3735,0.5640,0.4973,0.7294,0.7629
KNeighborsRegressor,0.2777,0.3834,0.5270,0.5541,0.7513,0.7180,0.2656,0.3714,0.5154,0.5802,0.7645,0.7563
SVR,0.2365,0.3482,0.4863,0.6203,0.7907,0.7618,0.2444,0.3529,0.4944,0.6138,0.7878,0.7692
MLPRegressor,0.2902,0.4023,0.5387,0.5341,0.7440,0.7039,0.2461,0.3613,0.4961,0.6111,0.7831,0.7612
