,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2063,0.3347,0.4541,0.6688,0.8184,0.7858,0.2054,0.3276,0.4532,0.6754,0.8229,0.8032
DecisionTreeRegressor,0.3081,0.3866,0.5551,0.5053,0.7334,0.7176,0.2332,0.3453,0.4829,0.6315,0.7955,0.7797
RandomForestRegressor,0.2154,0.3436,0.4641,0.6542,0.8092,0.7796,0.2138,0.3351,0.4624,0.6621,0.8144,0.7952
GradientBoostingRegressor,0.2272,0.3549,0.4767,0.6352,0.8002,0.7646,0.2183,0.3425,0.4673,0.6550,0.8140,0.7856
AdaBoostRegressor,0.3832,0.4996,0.6190,0.3847,0.6608,0.6170,0.3681,0.4849,0.6067,0.4183,0.6886,0.6702
XGBRegressor,0.2174,0.3414,0.4662,0.6510,0.8073,0.7742,0.2127,0.3301,0.4612,0.6639,0.8150,0.7943
ExtraTreesRegressor,0.2145,0.3415,0.4632,0.6555,0.8097,0.7819,0.2230,0.3396,0.4722,0.6476,0.8049,0.7867
LinearRegression,0.6512,0.4717,0.8070,-0.0456,0.5858,0.6900,0.3377,0.3822,0.5812,0.4663,0.7177,0.7463
KNeighborsRegressor,0.2717,0.3807,0.5213,0.5637,0.7575,0.7263,0.2642,0.3711,0.5140,0.5824,0.7671,0.7575
SVR,0.2267,0.3421,0.4762,0.6359,0.8007,0.7714,0.2376,0.3499,0.4875,0.6245,0.7947,0.7756
MLPRegressor,0.2876,0.4002,0.5363,0.5382,0.7519,0.7153,0.2394,0.3506,0.4893,0.6217,0.7906,0.7775
