,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2063,0.3347,0.4541,0.6688,0.8184,0.7858,0.2054,0.3276,0.4532,0.6754,0.8229,0.8032
DecisionTreeRegressor,0.3092,0.3861,0.5561,0.5035,0.7327,0.7176,0.2293,0.3433,0.4788,0.6377,0.7994,0.7771
RandomForestRegressor,0.2162,0.3438,0.4650,0.6528,0.8084,0.7795,0.2139,0.3354,0.4624,0.6621,0.8143,0.7951
GradientBoostingRegressor,0.2270,0.3549,0.4765,0.6354,0.8004,0.7644,0.2184,0.3425,0.4673,0.6549,0.8140,0.7856
AdaBoostRegressor,0.3904,0.5032,0.6248,0.3731,0.6505,0.6149,0.3726,0.4873,0.6104,0.4113,0.6814,0.6669
XGBRegressor,0.2174,0.3414,0.4662,0.6510,0.8073,0.7742,0.2127,0.3301,0.4612,0.6639,0.8150,0.7943
ExtraTreesRegressor,0.2137,0.3411,0.4623,0.6568,0.8105,0.7827,0.2238,0.3399,0.4731,0.6464,0.8041,0.7873
LinearRegression,0.6512,0.4717,0.8070,-0.0456,0.5858,0.6900,0.3377,0.3822,0.5812,0.4663,0.7177,0.7463
KNeighborsRegressor,0.2713,0.3800,0.5209,0.5643,0.7581,0.7273,0.2619,0.3686,0.5118,0.5861,0.7694,0.7593
SVR,0.2267,0.3421,0.4762,0.6359,0.8007,0.7714,0.2376,0.3499,0.4875,0.6245,0.7947,0.7756
MLPRegressor,0.3255,0.4251,0.5705,0.4774,0.7226,0.6883,0.2341,0.3543,0.4838,0.6301,0.7945,0.7704
