,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2090,0.3350,0.4571,0.6645,0.8156,0.7853,0.2091,0.3297,0.4573,0.6695,0.8190,0.8001
DecisionTreeRegressor,0.3054,0.3838,0.5527,0.5096,0.7346,0.7156,0.2283,0.3353,0.4778,0.6392,0.8011,0.7853
RandomForestRegressor,0.2150,0.3412,0.4637,0.6548,0.8092,0.7796,0.2142,0.3321,0.4628,0.6615,0.8135,0.7947
GradientBoostingRegressor,0.2327,0.3593,0.4824,0.6264,0.7945,0.7564,0.2322,0.3549,0.4818,0.6331,0.7993,0.7737
AdaBoostRegressor,0.4050,0.5148,0.6364,0.3498,0.6311,0.5775,0.3902,0.5038,0.6247,0.3834,0.6585,0.6250
XGBRegressor,0.2157,0.3382,0.4644,0.6537,0.8093,0.7816,0.2078,0.3247,0.4559,0.6716,0.8197,0.8023
ExtraTreesRegressor,0.2073,0.3339,0.4553,0.6671,0.8168,0.7891,0.2142,0.3316,0.4629,0.6615,0.8135,0.7944
LinearRegression,0.3681,0.4344,0.6067,0.4089,0.6498,0.6759,0.3426,0.4240,0.5853,0.4587,0.6796,0.6960
KNeighborsRegressor,0.2824,0.3840,0.5315,0.5465,0.7454,0.7183,0.2793,0.3723,0.5285,0.5587,0.7518,0.7498
SVR,0.2471,0.3548,0.4971,0.6033,0.7801,0.7564,0.2506,0.3544,0.5006,0.6040,0.7805,0.7656
MLPRegressor,0.2579,0.3635,0.5079,0.5859,0.7702,0.7550,0.2475,0.3491,0.4975,0.6089,0.7825,0.7768
