,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2042,0.3325,0.4519,0.6721,0.8203,0.7881,0.2058,0.3277,0.4537,0.6748,0.8222,0.8044
DecisionTreeRegressor,0.3059,0.3856,0.5531,0.5088,0.7329,0.7127,0.2314,0.3444,0.4810,0.6344,0.7976,0.7745
RandomForestRegressor,0.2155,0.3434,0.4643,0.6539,0.8088,0.7760,0.2196,0.3395,0.4686,0.6530,0.8085,0.7895
GradientBoostingRegressor,0.2203,0.3491,0.4693,0.6463,0.8065,0.7672,0.2187,0.3408,0.4676,0.6545,0.8125,0.7834
AdaBoostRegressor,0.3778,0.4938,0.6146,0.3934,0.6626,0.6219,0.3575,0.4771,0.5979,0.4351,0.6957,0.6761
XGBRegressor,0.2166,0.3429,0.4654,0.6522,0.8080,0.7748,0.2151,0.3318,0.4638,0.6601,0.8127,0.7923
ExtraTreesRegressor,0.2092,0.3381,0.4573,0.6642,0.8150,0.7840,0.2180,0.3370,0.4669,0.6555,0.8097,0.7900
LinearRegression,1.1424,0.6212,1.0688,-0.8343,0.4362,0.5776,0.5253,0.4695,0.7248,0.1699,0.6108,0.6739
KNeighborsRegressor,0.2736,0.3818,0.5231,0.5607,0.7550,0.7190,0.2703,0.3757,0.5199,0.5728,0.7603,0.7484
SVR,0.2240,0.3392,0.4733,0.6403,0.8032,0.7743,0.2344,0.3451,0.4841,0.6296,0.7973,0.7768
MLPRegressor,0.3925,0.4643,0.6265,0.3697,0.6898,0.6540,0.2523,0.3617,0.5023,0.6013,0.7796,0.7620
