,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2088,0.3352,0.4569,0.6648,0.8159,0.7843,0.2096,0.3297,0.4579,0.6687,0.8186,0.7996
DecisionTreeRegressor,0.3018,0.3813,0.5494,0.5153,0.7378,0.7164,0.2325,0.3398,0.4822,0.6326,0.7971,0.7793
RandomForestRegressor,0.2157,0.3410,0.4644,0.6537,0.8085,0.7779,0.2129,0.3311,0.4614,0.6636,0.8148,0.7955
GradientBoostingRegressor,0.2353,0.3605,0.4850,0.6223,0.7920,0.7526,0.2329,0.3560,0.4826,0.6319,0.7992,0.7695
AdaBoostRegressor,0.4154,0.5211,0.6445,0.3330,0.6180,0.5709,0.4046,0.5125,0.6361,0.3606,0.6397,0.6166
XGBRegressor,0.2142,0.3375,0.4629,0.6560,0.8107,0.7821,0.2078,0.3242,0.4559,0.6716,0.8196,0.8015
ExtraTreesRegressor,0.2081,0.3346,0.4561,0.6659,0.8162,0.7870,0.2133,0.3316,0.4619,0.6629,0.8144,0.7959
LinearRegression,0.3794,0.4410,0.6159,0.3909,0.6358,0.6613,0.3483,0.4299,0.5902,0.4496,0.6717,0.6809
KNeighborsRegressor,0.2809,0.3844,0.5300,0.5489,0.7473,0.7193,0.2828,0.3757,0.5317,0.5532,0.7487,0.7475
SVR,0.2466,0.3558,0.4966,0.6040,0.7802,0.7553,0.2521,0.3563,0.5021,0.6016,0.7787,0.7636
MLPRegressor,0.2497,0.3645,0.4997,0.5991,0.7794,0.7532,0.2554,0.3523,0.5054,0.5964,0.7769,0.7781
