,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2090,0.3350,0.4571,0.6645,0.8156,0.7853,0.2091,0.3297,0.4573,0.6695,0.8190,0.8001
DecisionTreeRegressor,0.3010,0.3817,0.5486,0.5167,0.7382,0.7168,0.2292,0.3354,0.4787,0.6379,0.8003,0.7892
RandomForestRegressor,0.2147,0.3412,0.4634,0.6552,0.8095,0.7801,0.2148,0.3324,0.4634,0.6606,0.8130,0.7940
GradientBoostingRegressor,0.2330,0.3595,0.4827,0.6259,0.7942,0.7560,0.2325,0.3550,0.4822,0.6326,0.7990,0.7735
AdaBoostRegressor,0.4153,0.5203,0.6444,0.3332,0.6191,0.5789,0.4022,0.5107,0.6342,0.3645,0.6433,0.6179
XGBRegressor,0.2157,0.3382,0.4644,0.6537,0.8093,0.7816,0.2078,0.3247,0.4559,0.6716,0.8197,0.8023
ExtraTreesRegressor,0.2077,0.3342,0.4558,0.6665,0.8164,0.7883,0.2138,0.3313,0.4624,0.6622,0.8139,0.7939
LinearRegression,0.3681,0.4344,0.6067,0.4089,0.6498,0.6759,0.3426,0.4240,0.5853,0.4587,0.6796,0.6960
KNeighborsRegressor,0.2823,0.3833,0.5313,0.5468,0.7456,0.7196,0.2795,0.3741,0.5287,0.5583,0.7516,0.7498
SVR,0.2471,0.3548,0.4971,0.6033,0.7801,0.7564,0.2506,0.3544,0.5006,0.6040,0.7805,0.7656
MLPRegressor,0.2672,0.3714,0.5169,0.5710,0.7613,0.7456,0.2650,0.3562,0.5148,0.5813,0.7669,0.7696
