,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.5321,0.5498,0.7295,0.1456,0.3837,0.3549,0.5229,0.5455,0.7231,0.1737,0.4172,0.3911
DecisionTreeRegressor,1.0340,0.7508,1.0169,-0.6602,0.2001,0.2133,0.6364,0.5984,0.7977,-0.0056,0.3202,0.3102
RandomForestRegressor,0.5440,0.5527,0.7376,0.1265,0.3750,0.3485,0.5218,0.5428,0.7224,0.1754,0.4208,0.4034
GradientBoostingRegressor,0.5320,0.5508,0.7293,0.1459,0.3820,0.3477,0.5287,0.5506,0.7271,0.1646,0.4079,0.3775
AdaBoostRegressor,0.6518,0.6560,0.8073,-0.0465,0.2918,0.2545,0.6250,0.6469,0.7905,0.0124,0.3549,0.3127
XGBRegressor,0.6013,0.5796,0.7754,0.0346,0.3255,0.3134,0.5451,0.5506,0.7383,0.1387,0.3919,0.3743
ExtraTreesRegressor,0.5742,0.5695,0.7578,0.0780,0.3384,0.3150,0.5380,0.5508,0.7335,0.1498,0.3980,0.3826
LinearRegression,0.5934,0.5853,0.7704,0.0472,0.2175,0.2773,0.6001,0.5884,0.7747,0.0517,0.2284,0.2980
KNeighborsRegressor,0.7067,0.6339,0.8407,-0.1347,0.2197,0.2001,0.6336,0.5989,0.7960,-0.0012,0.2808,0.2715
SVR,0.5470,0.5406,0.7396,0.1218,0.3791,0.3600,0.5387,0.5358,0.7340,0.1487,0.4168,0.3956
MLPRegressor,0.5320,0.5498,0.7294,0.1459,0.3834,0.3591,0.5242,0.5464,0.7240,0.1716,0.4151,0.4004
