,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2936,0.3980,0.5419,0.5285,0.7284,0.7021,0.2847,0.3908,0.5336,0.5501,0.7456,0.7267
DecisionTreeRegressor,0.6009,0.5524,0.7752,0.0352,0.5163,0.5185,0.3564,0.4271,0.5970,0.4369,0.6687,0.6577
RandomForestRegressor,0.3056,0.4058,0.5528,0.5093,0.7169,0.6937,0.2986,0.4010,0.5465,0.5281,0.7313,0.7204
GradientBoostingRegressor,0.3191,0.4139,0.5649,0.4877,0.7017,0.6754,0.3189,0.4119,0.5647,0.4961,0.7086,0.6865
AdaBoostRegressor,0.4726,0.5532,0.6874,0.2412,0.5603,0.5377,0.4656,0.5511,0.6824,0.2642,0.5830,0.5742
XGBRegressor,0.3242,0.4213,0.5694,0.4795,0.6952,0.6677,0.2901,0.3893,0.5386,0.5415,0.7364,0.7195
ExtraTreesRegressor,0.2900,0.3970,0.5385,0.5344,0.7367,0.7134,0.2834,0.3913,0.5323,0.5522,0.7500,0.7359
LinearRegression,0.3918,0.4635,0.6259,0.3710,0.6206,0.6287,0.3793,0.4547,0.6158,0.4007,0.6365,0.6547
KNeighborsRegressor,0.4537,0.4893,0.6736,0.2715,0.5472,0.5256,0.4292,0.4769,0.6551,0.3218,0.5789,0.5745
SVR,0.3763,0.4252,0.6134,0.3958,0.6371,0.6516,0.3849,0.4259,0.6204,0.3918,0.6375,0.6589
MLPRegressor,0.4130,0.4862,0.6426,0.3369,0.6179,0.5906,0.3658,0.4500,0.6048,0.4220,0.6565,0.6341
