,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1102,0.2400,0.3320,0.8231,0.9073,0.8907,0.2505,0.3567,0.5005,0.6042,0.7811,0.7656
DecisionTreeRegressor,0.2224,0.3424,0.4716,0.6429,0.8233,0.7986,0.2821,0.3819,0.5311,0.5543,0.7559,0.7364
RandomForestRegressor,0.1127,0.2427,0.3357,0.8190,0.9051,0.8859,0.2528,0.3575,0.5028,0.6004,0.7795,0.7627
GradientBoostingRegressor,0.1083,0.2394,0.3290,0.8262,0.9089,0.8918,0.2535,0.3596,0.5035,0.5995,0.7785,0.7625
AdaBoostRegressor,0.1330,0.2801,0.3647,0.7865,0.8930,0.8715,0.2605,0.3806,0.5104,0.5884,0.7708,0.7537
XGBRegressor,0.1317,0.2600,0.3629,0.7885,0.8896,0.8704,0.2532,0.3562,0.5032,0.5998,0.7799,0.7619
ExtraTreesRegressor,0.1249,0.2516,0.3534,0.7995,0.8949,0.8761,0.2572,0.3593,0.5071,0.5936,0.7765,0.7585
LinearRegression,0.1264,0.2591,0.3555,0.7971,0.8942,0.8813,0.2537,0.3588,0.5037,0.5991,0.7788,0.7646
KNeighborsRegressor,0.1402,0.2726,0.3744,0.7749,0.8821,0.8567,0.2643,0.3652,0.5141,0.5823,0.7705,0.7493
SVR,0.1073,0.2352,0.3276,0.8277,0.9099,0.8933,0.2504,0.3545,0.5004,0.6043,0.7815,0.7681
MLPRegressor,0.1833,0.3170,0.4282,0.7057,0.8514,0.8515,0.2795,0.3783,0.5287,0.5583,0.7596,0.7416
