,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1274,0.2616,0.3569,0.7955,0.8919,0.8724,0.2010,0.3178,0.4484,0.6823,0.8262,0.8099
DecisionTreeRegressor,0.2865,0.3879,0.5353,0.5400,0.7749,0.7539,0.2322,0.3415,0.4819,0.6330,0.8000,0.7874
RandomForestRegressor,0.1317,0.2657,0.3629,0.7886,0.8880,0.8688,0.2032,0.3188,0.4508,0.6789,0.8240,0.8071
GradientBoostingRegressor,0.1289,0.2643,0.3590,0.7930,0.8905,0.8703,0.2065,0.3241,0.4545,0.6736,0.8211,0.8017
AdaBoostRegressor,0.1660,0.3198,0.4074,0.7335,0.8644,0.8358,0.2271,0.3643,0.4766,0.6411,0.8074,0.7815
XGBRegressor,0.1471,0.2795,0.3835,0.7639,0.8749,0.8578,0.2019,0.3163,0.4493,0.6809,0.8256,0.8112
ExtraTreesRegressor,0.1334,0.2658,0.3653,0.7857,0.8865,0.8685,0.2016,0.3185,0.4491,0.6814,0.8256,0.8091
LinearRegression,0.1383,0.2771,0.3719,0.7780,0.8832,0.8650,0.2160,0.3268,0.4647,0.6587,0.8136,0.8000
KNeighborsRegressor,0.1622,0.2946,0.4028,0.7395,0.8628,0.8367,0.2135,0.3256,0.4620,0.6627,0.8168,0.8026
SVR,0.1289,0.2586,0.3590,0.7930,0.8907,0.8743,0.1992,0.3121,0.4463,0.6853,0.8283,0.8156
MLPRegressor,0.2010,0.3351,0.4483,0.6773,0.8322,0.8149,0.2399,0.3499,0.4898,0.6210,0.7926,0.7788
